买点,n,w20,w60,w120,w250,m20,m250,up50,up100
C_箱体突破,2783,51.7,51.8,55.5,57.1,2.2,19.1,8.4,6.7
B_回踩10周线金叉,31896,45.1,44.1,43.9,43.5,0.4,9.3,8.9,6.1
A_52周新高突破,119092,44.5,42.9,43.9,46.1,0.8,11.1,11.1,5.5
