月,全市场数,次新数,全_H250_G100,新_H250_G100,全_H250_G200,新_H250_G200,全_H250_G500,新_H250_G500,全_H500_G100,新_H500_G100,全_H500_G200,新_H500_G200,全_H500_G500,新_H500_G500,全_H750_G100,新_H750_G100,全_H750_G200,新_H750_G200,全_H750_G500,新_H750_G500
2013-01,2271,750,0.45090268604139144,0.568,0.15015411712901805,0.24533333333333332,0.01805372082782915,0.03333333333333333,0.9110523998238661,0.96,0.6948480845442536,0.7946666666666666,0.20871862615587847,0.33466666666666667,0.7547335975341259,0.8426666666666667,0.4720387494495817,0.628,0.11845002201673271,0.20266666666666666
2013-02,2277,753,0.5010979358805446,0.6215139442231076,0.18401405357927098,0.2749003984063745,0.022837066315327184,0.0398406374501992,0.901624945103206,0.9455511288180611,0.6745718050065876,0.7768924302788844,0.1919191919191919,0.3107569721115538,0.7404479578392622,0.8300132802124834,0.4488361879666227,0.600265604249668,0.103645147123408,0.1806108897742364
2013-03,2261,765,0.7098628925254312,0.7647058823529411,0.3396727111897391,0.4745098039215686,0.04909332153914197,0.09542483660130718,0.9252543122512162,0.9620915032679739,0.7129588677576294,0.807843137254902,0.20875718708536045,0.3333333333333333,0.767359575409111,0.8418300653594771,0.4674922600619195,0.6196078431372549,0.11012826183104821,0.20130718954248367
2013-04,2249,766,0.8070253445975989,0.856396866840731,0.4624277456647399,0.577023498694517,0.08981769675411294,0.1618798955613577,0.9359715429079591,0.9660574412532638,0.7309915518008003,0.8185378590078329,0.2249888839484215,0.3537859007832898,0.791907514450867,0.8668407310704961,0.4868830591373944,0.6318537859007833,0.11783014673188083,0.20887728459530025
2013-05,2244,766,0.8582887700534759,0.9112271540469974,0.5784313725490197,0.6736292428198434,0.12121212121212122,0.20365535248041775,0.8480392156862745,0.8929503916449086,0.5476827094474154,0.6553524804177546,0.11229946524064172,0.195822454308094,0.7009803921568627,0.7780678851174935,0.4015151515151515,0.5300261096605744,0.07531194295900179,0.1370757180156658
2013-06,2238,772,0.9343163538873994,0.9507772020725389,0.7377122430741734,0.7979274611398963,0.19526362823949955,0.29404145077720206,0.889633601429848,0.9183937823834197,0.6215370866845398,0.7085492227979274,0.15102770330652368,0.24740932642487046,0.824396782841823,0.8601036269430051,0.533065236818588,0.6373056994818653,0.11126005361930295,0.1955958549222798
2013-07,2234,777,0.9194270367054611,0.9433719433719434,0.702775290957923,0.752895752895753,0.162041181736795,0.23423423423423423,0.8625783348254252,0.8906048906048906,0.5711727842435094,0.6563706563706564,0.11951656222023277,0.18532818532818532,0.7909579230080573,0.8275418275418276,0.4856759176365264,0.583011583011583,0.09400179051029543,0.15444015444015444
2013-08,2236,784,0.9025044722719141,0.9311224489795918,0.6337209302325582,0.7142857142857143,0.12298747763864043,0.20153061224489796,0.7956171735241503,0.8533163265306123,0.4807692307692308,0.6237244897959183,0.0836314847942755,0.15433673469387754,0.7316636851520573,0.798469387755102,0.4199463327370304,0.5395408163265306,0.06663685152057246,0.11096938775510204
2013-09,2239,785,0.8878963823135329,0.9095541401273886,0.5971415810629745,0.6764331210191082,0.10853059401518535,0.17961783439490445,0.7690933452434122,0.8152866242038217,0.456900401965163,0.5770700636942675,0.06922733363108531,0.1197452229299363,0.6958463599821348,0.756687898089172,0.3845466726217061,0.49044585987261147,0.05716837874050915,0.08917197452229299
2013-10,2228,780,0.914721723518851,0.9346153846153846,0.63016157989228,0.7051282051282052,0.11041292639138241,0.18205128205128204,0.7868043087971275,0.8269230769230769,0.46903052064631956,0.5961538461538461,0.07495511669658887,0.13333333333333333,0.7105026929982047,0.764102564102564,0.38330341113105926,0.491025641025641,0.06014362657091562,0.10256410256410256
2013-11,2213,771,0.8870311793944872,0.9027237354085603,0.5693628558517849,0.6083009079118028,0.08450067781292363,0.1309987029831388,0.7333935833709896,0.7704280155642024,0.38635336647085405,0.4785992217898833,0.04654315408947131,0.07522697795071336,0.6394035246272028,0.6653696498054474,0.3059195661997289,0.3761348897535668,0.04338002711251695,0.06744487678339818
2013-12,2228,780,0.9138240574506283,0.9205128205128205,0.5960502692998204,0.6358974358974359,0.09919210053859964,0.15,0.6988330341113106,0.7282051282051282,0.37118491921005387,0.45256410256410257,0.04308797127468582,0.07564102564102564,0.6629263913824057,0.6846153846153846,0.3402154398563734,0.39615384615384613,0.05116696588868941,0.07564102564102564
2014-01,2271,783,0.9163364156759137,0.9106002554278416,0.6036988110964333,0.6002554278416348,0.08938793483047115,0.10727969348659004,0.693967415235579,0.6922094508301405,0.3571114046675473,0.40485312899106,0.047556142668428,0.06768837803320563,0.6530162923822105,0.6360153256704981,0.332892998678996,0.35759897828863346,0.054601497137824744,0.06513409961685823
2014-02,2254,774,0.9108251996450755,0.9186046511627907,0.5771960958296362,0.6046511627906976,0.07364685004436557,0.09431524547803617,0.678793256433008,0.6950904392764858,0.32431233362910383,0.38242894056847543,0.041259982253771074,0.05813953488372093,0.6206743566992015,0.6214470284237726,0.2990239574090506,0.3281653746770026,0.04924578527062999,0.05813953488372093
2014-03,2213,758,0.9349299593312246,0.9472295514511874,0.6095797559873475,0.6477572559366754,0.0754631721644826,0.10686015831134564,0.7085404428377767,0.741424802110818,0.34613646633529144,0.42744063324538256,0.03750564844103028,0.06464379947229551,0.6073203795752372,0.6411609498680739,0.28287392679620427,0.3403693931398417,0.051965657478535925,0.06992084432717678
2014-04,2192,759,0.947992700729927,0.9617918313570487,0.6222627737226277,0.6719367588932806,0.08211678832116788,0.11462450592885376,0.7176094890510949,0.7470355731225297,0.3517335766423358,0.4268774703557312,0.0406021897810219,0.05401844532279315,0.6067518248175182,0.6337285902503293,0.30063868613138683,0.35046113306982873,0.0552007299270073,0.06719367588932806
2014-05,2186,761,0.9364135407136323,0.9500657030223391,0.5832570905763952,0.6202365308804205,0.05809698078682525,0.07490144546649145,0.6976212259835316,0.7240473061760841,0.32387923147301007,0.3876478318002628,0.03293687099725526,0.045992115637319315,0.5983531564501372,0.6189224704336399,0.29048490393412624,0.3272010512483574,0.060841720036596526,0.07095926412614981
2014-06,2173,763,0.7459733087896917,0.7575360419397117,0.3198343304187759,0.35255570117955437,0.024850437183617118,0.03669724770642202,0.6511734928670041,0.6474442988204456,0.27059364933271973,0.30799475753604194,0.026231017027151405,0.03407601572739188,0.5600552231937413,0.5674967234600262,0.26000920386562354,0.28309305373525556,0.057063966866083754,0.05897771952817824
2014-07,2188,747,0.6663619744058501,0.713520749665328,0.23811700182815357,0.2878179384203481,0.016453382084095063,0.028112449799196786,0.5685557586837294,0.6117804551539491,0.20978062157221206,0.2677376171352075,0.016453382084095063,0.024096385542168676,0.4954296160877514,0.5475234270414994,0.2317184643510055,0.2838018741633199,0.048446069469835464,0.0535475234270415
2014-08,2179,715,0.559889857732905,0.6335664335664336,0.17255621844882973,0.22377622377622378,0.009178522257916476,0.015384615384615385,0.5080312069756769,0.5454545454545454,0.16842588343276732,0.2097902097902098,0.01330885727397889,0.02097902097902098,0.4483708122992198,0.5006993006993007,0.2023864157870583,0.25034965034965034,0.04359798072510326,0.05314685314685315
2014-09,2203,715,0.41761234679981846,0.5006993006993007,0.10758057194734454,0.14825174825174825,0.004993191103041307,0.006993006993006993,0.3645029505220154,0.3986013986013986,0.11484339536995007,0.15384615384615385,0.008624602814344077,0.016783216783216783,0.3445301861098502,0.38741258741258744,0.159328188833409,0.1874125874125874,0.03631411711302769,0.046153846153846156
2014-10,2202,691,0.40826521344232514,0.4963820549927641,0.09809264305177112,0.1316931982633864,0.005449591280653951,0.008683068017366137,0.3474114441416894,0.3921852387843705,0.10626702997275204,0.13748191027496381,0.006811989100817439,0.015918958031837915,0.3301544050862852,0.37771345875542695,0.14713896457765668,0.1736613603473227,0.035422343324250684,0.04775687409551375
2014-11,2184,671,0.3218864468864469,0.40536512667660207,0.07142857142857142,0.10581222056631892,0.0027472527472527475,0.0029806259314456036,0.27106227106227104,0.32190760059612517,0.08333333333333333,0.09985096870342772,0.004120879120879121,0.00894187779433681,0.2980769230769231,0.3412816691505216,0.14423076923076922,0.16840536512667661,0.036172161172161175,0.046199701937406856
2014-12,2224,660,0.322841726618705,0.44242424242424244,0.08947841726618705,0.13787878787878788,0.0049460431654676255,0.007575757575757576,0.3107014388489209,0.39545454545454545,0.10341726618705036,0.15,0.007643884892086331,0.012121212121212121,0.32823741007194246,0.4166666666666667,0.1596223021582734,0.19090909090909092,0.044964028776978415,0.06363636363636363
2015-01,2232,664,0.26433691756272404,0.3825301204819277,0.05734767025089606,0.08734939759036145,0.0035842293906810036,0.006024096385542169,0.257168458781362,0.3192771084337349,0.08288530465949821,0.12349397590361445,0.005376344086021506,0.010542168674698794,0.2849462365591398,0.3569277108433735,0.14068100358422939,0.1746987951807229,0.04077060931899642,0.05572289156626506
2015-02,2265,645,0.21545253863134659,0.2992248062015504,0.046799116997792496,0.07441860465116279,0.0017660044150110375,0.0015503875968992248,0.21589403973509932,0.26046511627906976,0.06666666666666667,0.10077519379844961,0.005739514348785872,0.009302325581395349,0.25695364238410595,0.3147286821705426,0.12362030905077263,0.15658914728682172,0.03620309050772627,0.05116279069767442
2015-03,2213,599,0.1016719385449616,0.14023372287145242,0.02078626299141437,0.03672787979966611,0.0009037505648441031,0.0,0.12200632625395391,0.16193656093489148,0.03298689561680976,0.04674457429048414,0.0036150022593764122,0.00667779632721202,0.17487573429733394,0.21035058430717862,0.08992318120198825,0.10851419031719532,0.028016267510167194,0.04006677796327212
2015-04,2236,560,0.06216457960644007,0.09285714285714286,0.016100178890876567,0.026785714285714284,0.0008944543828264759,0.0,0.08452593917710197,0.11071428571428571,0.024150268336314847,0.039285714285714285,0.0013416815742397137,0.005357142857142857,0.14221824686940965,0.175,0.07468694096601074,0.09285714285714286,0.02146690518783542,0.033928571428571426
2015-05,2214,529,0.03297199638663053,0.034026465028355386,0.00993676603432701,0.005671077504725898,0.00045167118337850043,0.0,0.04968383017163505,0.05860113421550094,0.017163504968383016,0.017013232514177693,0.0009033423667570009,0.001890359168241966,0.1111111111111111,0.10586011342155009,0.06052393857271906,0.07372400756143667,0.017163504968383016,0.024574669187145556
2015-06,2207,506,0.04802899864068872,0.06719367588932806,0.011327594019030359,0.011857707509881422,0.0009062075215224287,0.0,0.07340280924331671,0.09881422924901186,0.01812415043044857,0.021739130434782608,0.0018124150430448573,0.003952569169960474,0.14544630720434978,0.15612648221343872,0.06751246035342093,0.07707509881422925,0.024467603081105575,0.037549407114624504
