,事件数,选中率,年均笔数,胜率,净期望,年化,回撤,p
【基线】全部OOS事件,9415.0,1.0,1429.866424116424,0.15432819968135952,0.016085798202452956,0.015009323324180146,-0.6203705939190297,
深度最浅40%,3769.0,0.40031864046733934,572.4021829521829,0.19872645263995756,0.03159648042113031,0.14144366020902832,-0.32397390165627293,0.01
缩量比最缩40%,3769.0,0.40031864046733934,572.4021829521829,0.18227646590607588,0.03454052326784765,0.022657710159879496,-0.6036890821844978,0.6366666666666667
收敛比最收敛40%,3769.0,0.40031864046733934,572.4021829521829,0.18174582117272486,0.031913725408870615,-0.0005093386552738055,-0.5795992914742938,0.8433333333333334
**三条全中**,1606.0,0.17057886351566648,243.9049896049896,0.20610211706102116,0.034953034329073054,0.10367001132949683,-0.35332725989713054,0.16
