变体,事件数,净期望,年化,随机中位,p_年化
口袋支点 ∩ 60日新高(原始),24094,0.07615202836823239,0.08402327788150821,0.04522378810423966,0.0
口袋支点 ∩ 30日新高,33857,0.07016707567902748,0.06005515513639548,0.038279975721377646,0.1
口袋支点 ∩ 距60日高点5%内,45987,0.0657130173596396,0.10521326774671769,0.031871434957501665,0.0
口袋支点 全集,64641,0.05123497288650189,0.10014302923286511,0.06120673598221016,0.0
