前瞻,格,事件数,ge100,对照A,liftA,pA,对照B,liftB,pB,对照A总体,零校验差
6个月,legacy|状态,18997,0.05432436700531663,0.05226319516313525,1.0394383052116811,0.055,0.07736943907156674,0.7021424435437174,1.0,0.052232264505616834,3.0930657518413174e-05
6个月,legacy|突破,11645,0.07393731215113783,0.05616583982990787,1.3164106933155266,0.0,0.07643739924771628,0.967292357914007,0.91,0.055753769994601944,0.00041206983530592267
6个月,adaptive|状态,10309,0.05616451644194393,0.05923907558784943,0.9480991370071932,0.925,0.08072354211663067,0.695763775588496,1.0,0.05951028539898436,0.0002712098111349315
6个月,adaptive|突破,6468,0.07081014223871367,0.06186888924507133,1.1445193715734057,0.0,0.08097560975609756,0.8744625999359218,1.0,0.06173281298793201,0.00013607625713931565
12个月,legacy|状态,17483,0.15088943545158154,0.1473468660968661,1.0240423800556882,0.085,0.1592705545528101,0.9473781005863855,1.0,0.1474934538363101,0.0001465877394440096
12个月,legacy|突破,10401,0.17834823574656283,0.1647421859446546,1.0825899554743021,0.0,0.17971584038694075,0.9923901830944153,0.645,0.16456655089068345,0.00017563505397114043
12个月,adaptive|状态,9677,0.16017360752299267,0.1633972838973917,0.9802709304738297,0.805,0.17058755359833122,0.9389524859483042,1.0,0.1634205547006088,2.3270803217095848e-05
12个月,adaptive|突破,5770,0.1734835355285962,0.17505865367262227,0.9910023405813932,0.6,0.18607850330154072,0.9323136872369704,1.0,0.17517853793393962,0.00011988426131734342
