指标,top5%中位,其余中位,top5_hot率,其余_hot率
S_涨停次数,1.0,1.0,0.75,0.5740498034076016
S_换手分位,0.7247683328187421,0.6090731084057007,0.75,0.5740498034076016
深度,0.2626913178924557,0.2503545259982389,0.75,0.5740498034076016
缩量比,0.8010868254727981,0.845769185506861,0.75,0.5740498034076016
收敛比,0.8499388002976971,0.8923825053664547,0.75,0.5740498034076016
调整天数,65.5,63.0,0.75,0.5740498034076016
trade,1.1154714452906356,-0.09999999999999998,0.75,0.5740498034076016
raw252,1.1335482753441126,-0.00727802037845704,0.75,0.5740498034076016
