退市口径,策略,年化,最大回撤
T0 ffill 冻结(§73 现状),S1 次新池不择时,0.11514496352163894,-0.6477257660637805
T0 ffill 冻结(§73 现状),S2 次新池+红轴择时,0.10811465765346973,-0.5364425846593943
T0 ffill 冻结(§73 现状),S3 全市场不择时,0.08927838519549469,-0.6425984314106238
T2 三板折价 30%,S1 次新池不择时,0.11514496352163894,-0.6477257660637805
T2 三板折价 30%,S2 次新池+红轴择时,0.10811465765346973,-0.5364425846593943
T2 三板折价 30%,S3 全市场不择时,0.08766544469799087,-0.6436306882670011
T1 归零,S1 次新池不择时,0.11514496352163894,-0.6477257660637805
T1 归零,S2 次新池+红轴择时,0.10811465765346973,-0.5364425846593943
T1 归零,S3 全市场不择时,0.08731210700244763,-0.6442611380549833
