信号,离场,事件,年化,回撤,年化_择时OFF,p,过年化,过p,算发现
A 基本面(净利同比>50%),① 不止损,13848,0.08340503125051169,-0.5809664127611343,0.08738996844073843,0.16,True,False,False
A 基本面(净利同比>50%),② 10月均线,13848,0.0669920143645657,-0.4992936991538296,0.06695412281425672,0.32,False,False,False
A 基本面(净利同比>50%),③ 三段论启动+10月均线,13848,0.04822141167016358,-0.5865197313836219,0.0458289176770883,0.6833333333333333,False,False,False
B 月线巨量长阳(涨幅+换手同进前10%),① 不止损,10075,0.06283580043059267,-0.6880868782199921,0.06254802113012614,0.37333333333333335,False,False,False
B 月线巨量长阳(涨幅+换手同进前10%),② 10月均线,10075,-0.0783753357468514,-0.9147086587369461,-0.11721835529881819,1.0,False,False,False
B 月线巨量长阳(涨幅+换手同进前10%),③ 三段论启动+10月均线,10075,0.04564120660281201,-0.7900636480085304,0.03295236221801723,0.7066666666666667,False,False,False
C = A ∪ B,① 不止损,20558,0.07843298054804393,-0.7424767932079386,0.09640571071736503,0.22666666666666666,True,False,False
C = A ∪ B,② 10月均线,20558,0.0029165060685745203,-0.7839525615089197,-0.04664439098835527,0.8866666666666667,False,False,False
C = A ∪ B,③ 三段论启动+10月均线,20558,0.03941714551133346,-0.7611652753057608,0.03734986688755293,0.75,False,False,False
