年,未破,持有日,A实收,A峰值,B实收,B峰值,C实收,再创新高
2014,False,42,0.11792452830188682,0.28773584905660354,0.09748427672955984,0.6839622641509435,0.5094339622641508,True
2017,False,56,0.08150064683053038,0.16041397153945658,0.4527813712807245,0.4941785252263906,0.31953428201811107,True
2019,False,46,0.02564102564102555,0.17435897435897418,0.7753846153846153,1.0451282051282051,0.2020512820512821,True
2020,False,47,0.04608632040965621,0.17190929041697145,-0.34747622531089983,0.47329919531821507,0.21506949524506225,True
2014,False,24,-0.08108108108108103,0.019519519519519468,1.325825825825826,1.5735735735735736,0.3303303303303302,True
2017,False,62,0.032645223235717946,0.22707633221315415,0.04368698991838693,0.4920787325972156,0.18386941910705734,True
2019,False,13,-0.13160897679726136,-0.021300874857360208,-0.10840623811335104,0.07911753518448084,-0.18105743628756177,True
2020,False,13,-0.10304625799172618,-0.010906355772846932,-0.26927416321925535,0.06694245957126754,-0.047386235426852275,True
2020,False,8,-0.09338812103100491,-0.015315651849084788,-0.31266342921180434,0.05976839745984308,-0.14755323122898767,True
2014,False,13,-0.13465481886534525,0.04442925495557071,0.9788106630211892,2.4586466165413534,0.00956937799043045,True
2015,False,17,-0.1958419958419959,0.05197505197505192,-0.5334719334719334,0.05197505197505192,-0.23430353430353434,False
2019,False,24,-0.1421979865771812,0.06040268456375841,-0.3179530201342281,0.8779362416107384,-0.21434563758389258,True
2020,False,30,0.1816421378776143,0.7339271882261813,-0.2610379550735864,0.7339271882261813,0.056545313710302025,False
2023,False,59,0.37376237623762365,0.8366336633663369,-0.2656765676567656,0.9323432343234326,0.5222772277227723,False
2014,False,40,0.19281045751633985,0.41176470588235303,1.369281045751634,4.169934640522876,0.33986928104575154,True
2019,False,16,-0.12749999999999995,0.010000000000000009,-0.42500000000000004,0.010000000000000009,-0.2025,False
2014,False,18,-0.0652631578947368,0.06315789473684208,0.7621052631578946,2.265263157894737,0.36631578947368415,True
2017,False,46,-0.0998781973203412,0.0,-0.40682095006090135,0.0,-0.39464068209500613,False
2020,False,46,0.304431599229287,0.6127167630057802,-0.1579961464354528,0.6127167630057802,-0.036608863198458685,False
2022,False,12,-0.18410852713178294,0.03100775193798455,-0.313953488372093,0.29263565891472854,-0.18410852713178294,True
2022,False,35,-0.08216783216783208,0.16608391608391604,0.4440559440559442,0.7465034965034967,-0.2097902097902098,False
2014,False,42,-0.02849510240427433,0.09349955476402494,0.44078361531611754,0.731967943009795,-0.04897595725734649,True
2015,False,161,0.42160844841592193,0.580016246953696,0.2891957757920389,0.580016246953696,0.580016246953696,False
2019,False,29,-0.13562386980108498,0.010849909584086825,-0.4737793851717902,0.010849909584086825,-0.27757685352622063,False
2022,False,24,-0.0966810966810967,-0.0014430014430013571,-0.4372294372294372,0.27561327561327564,0.0966810966810967,True
2024,False,22,-0.14834205933682376,-0.04537521815008738,0.62478184991274,2.0034904013961605,0.2390924956369982,True
2014,False,64,0.7553956834532376,1.028776978417266,2.4244604316546763,3.856115107913669,2.165467625899281,True
2021,False,26,-0.07011070110701101,0.21033210332103325,-0.1439114391143912,0.21033210332103325,-0.07380073800738018,False
2024,False,23,-0.17314487632508846,0.02473498233215543,-0.007067137809187329,0.32155477031802127,-0.3074204946996467,True
2014,False,43,0.22058823529411753,0.44281045751633985,0.49183006535947715,1.330065359477124,0.25326797385620914,True
2019,False,34,-0.03619047619047622,0.1752380952380952,0.7619047619047619,1.0838095238095238,-0.10095238095238102,True
2019,False,47,0.09760000000000013,0.41759999999999997,1.2640000000000002,3.5712,0.34240000000000004,True
2021,False,63,1.0407608695652177,1.58786231884058,0.059782608695652106,1.58786231884058,0.5298913043478262,False
2014,False,49,0.030349013657056112,0.2094081942336874,1.1396054628224581,1.3930197268588769,0.6342943854324734,True
2016,False,63,-0.002272727272727204,0.14015151515151536,-0.3340909090909091,0.26969696969697,0.014393939393939403,True
2020,False,58,0.8410256410256409,1.6646153846153848,0.14974358974358992,1.6646153846153848,0.1989743589743589,False
2022,False,13,-0.1966292134831461,0.043338683788122,-0.3715890850722312,0.043338683788122,-0.2897271268057786,False
2014,False,23,-0.05967078189300412,0.02263374485596703,0.3662551440329216,1.0761316872427984,0.9691358024691357,True
2020,False,14,-0.11546391752577312,0.09896907216494855,0.30927835051546393,1.3381443298969073,0.13608247422680408,True
2014,False,73,0.16386969397828222,0.28232971372161897,0.5853899308983215,1.8983218163869693,0.08193484698914122,True
2020,False,36,0.021482277121374738,0.23845327604726085,-0.15359828141783038,0.2728249194414607,-0.3093447905477982,False
2022,False,12,-0.1203966005665722,0.0,0.8073654390934846,1.1218130311614734,0.17280453257790374,True
