前瞻,事件数,ge100,对照A,liftA,pA,零校验A,跳过A,对照C,liftC,pC,零校验C,跳过C
6个月,22465,0.06659247718673492,0.07730879916281504,0.8613828944165699,1.0,0.00013130618666216953,0.0,0.08931530745747929,0.7455886239706209,1.0,2.353683365226289e-05,0.00017441353449027645
12个月,19639,0.14354091348846681,0.2052403893422476,0.6993794639957824,1.0,0.00018679900184676024,0.0,0.2151637329137575,0.6671241084388569,1.0,0.0003815118418983021,0.00019663749877101564
