区间,门槛,观测,随机中位,随机下限,随机上限,p
红轴,≥100%,1.2129088673091943,1.0683732783164384,1.0144418847654224,1.120110934872933,0.0
红轴,≥200%,1.614859471040346,1.1621559776104666,1.0666729582148151,1.2788497666888727,0.0
红轴,≥500%,2.725231186005568,1.3574106670403405,1.0996380861646442,1.5786682201499587,0.0
绿轴,≥100%,1.0278514578038833,1.0215202812551807,0.9991182410895891,1.0519901052813019,0.225
绿轴,≥200%,1.0650620165776192,1.0593118620682438,1.0042269167178162,1.1068597430920828,0.395
绿轴,≥500%,1.858771924647251,1.480579923022706,1.3308560026256733,1.6219935657090596,0.0
