code,突破日,创52周新高,距52周高,周量比,量比百分位,市场广度,广度百分位,+60日
600143,2025-07-25,False,-0.0413,4.84,0.936,0.875,0.72,0.5865
600580,2025-08-08,True,0.0017,1.42,0.357,0.877,0.73,0.8141
