策略,总收益,年化,最大回撤,年2018,交易次数,持仓月占比
MA10,2.4624820544091435,0.09513429721783795,0.4328794584793351,-0.12198898830006877,29,0.5914634146341463
MA12,4.660539532016047,0.13523862272595388,0.2545873501273699,-0.12198898830006888,21,0.5853658536585366
MA20,5.287080627925838,0.14399229589284035,0.3581365385668887,-0.2576811430343685,11,0.6036585365853658
MA24,4.07600978970854,0.1262209296067165,0.3916497635443699,-0.2576811430343684,9,0.573170731707317
