池,事件,年化,对照年化,超额,p,回撤,对照回撤,平均持仓,对照持仓
① 三段突破,10236,0.1648708452538854,0.12529481711799695,0.03957602813588845,0.0,0.5787689853107332,0.5910343317535256,1280.0627843494085,1280.0627843494085
② 首次新高,21859,0.11375348306049449,0.12165684989999503,-0.007903366839500547,0.99,0.599442431119375,0.586783974783549,2889.518956627237,2889.5189566272375
③ 首次新高+RPS<50,3901,0.13226164619236713,0.12478321468986531,0.0074784315025018255,0.2,0.5684406059515827,0.5822155349905398,459.16499848346984,459.16499848346984
