前瞻,事件数,ge100,对照A,liftA,pA,零校验A,对照B,liftB,pB,零校验B
6个月,9598,0.10231298187122317,0.08176641237778016,1.2512837349217794,0.0,7.116013883447236e-05,0.10165369649805447,1.0064856015657169,0.38,0.00013310703338671737
12个月,8472,0.23784230406043438,0.21025296346083344,1.13121974665884,0.0,0.0011202327677544976,0.2219488188976378,1.0716087845915803,0.0,0.0002724419966444458
