口径,总收益中位,年化中位,回撤中位,回撤更小占比,年化更高占比,交易次数中位
MA10,-0.10197935610921482,-0.010068246468619146,0.6498274991156602,0.672386181651796,0.3498055364905056,24.0
MA12,-0.11589867670547505,-0.011330379226722864,0.6536158138093198,0.6620910546785632,0.3383665065202471,20.0
MA20,-0.18409114508742308,-0.019448725020401514,0.6459661123249552,0.6595744680851063,0.3040494166094715,16.0
MA24,-0.23103500007089606,-0.025519338725360274,0.6389974273289649,0.6849691146190803,0.28437428506062684,14.0
