,事件数,胜率,净期望,年化,最大回撤,前段净期望,后段净期望,后段年化,p_全期,p_后段
【锚点】60日新高突破,70318.0,0.1864911880454001,0.0460745115094142,0.06343974931554697,-0.6232887202110121,0.27156751327758116,0.010255506264654272,-0.011257751935304872,,
口袋支点(不加RPS),64641.0,0.2044873483428111,0.05123497288650189,0.10014302923286511,-0.6329034489350815,0.30976157002837684,0.011644944848514381,0.034370110518374464,0.01,0.0
A 强势 + 口袋支点(不等待),12434.0,0.1646120377084844,0.021211364419871526,0.04257436627509237,-0.6605259774751551,0.21197677152335312,0.004881985560160216,-0.03260838329775384,0.6433333333333333,0.76
B 强势 + 回撤≥15% + 口袋支点,2250.0,0.085040071237756,-0.02600387502783278,-0.07126363817864045,-0.8888514862837955,0.0155983546791439,-0.027580299628559252,-0.12314804182156869,1.0,1.0
C 强势 + 回撤≥25% + 口袋支点,524.0,0.07662835249042145,-0.04631451639926758,-0.036580468190272164,-0.6219132083992231,0.14935907152301886,-0.0482069108666011,-0.0568908977971867,0.9966666666666667,0.9966666666666667
D 强势 + 严格基底 + 口袋支点,5445.0,0.19742410303587857,0.030913082593217674,0.013484044139990825,-0.5134905821653185,-0.10299999999999998,0.030913082593217674,0.01534391209676178,0.97,0.4766666666666667
