部分,信号,tau_0.25,tau_0.50,tau_0.75,tau_0.90,tau_0.95,tau_0.99,rho,中位,CI下界,CI上界,反号信号数,信号总数,中位极差
分位曲线,"AGE_YOUNG 上市[1,3)年",-0.012284734360325456,-0.013652719721483186,-0.009563730636025558,0.00846481680097022,0.016548504470519143,0.14211060308949808,,,,,,,
分位曲线,AGE_OLD 上市>10年,0.004625199362041643,0.0013915790396257233,-0.013758941318653073,-0.04737724827758738,-0.08168064432713762,-0.18963903768567647,,,,,,,
分位曲线,SMALL_MV 市值最小档(零锚点),0.02687276990504278,0.031495576839788986,0.040070586578858536,0.04828327966030388,0.04628401453726072,0.014988281248210278,,,,,,,
分位曲线,RPS250>=90,-0.004001273854598364,0.00450742762311529,0.035468962119295844,0.08831160750071199,0.10327171906443233,0.17172061515696768,,,,,,,
分位曲线,RPS50>=95,-0.0072337958614887565,0.0056579444471820395,0.05738700931235041,0.14477738191360578,0.2104374796229327,0.45150919209592333,,,,,,,
分位曲线,RPS50<=30 弱势,0.0053843823736039464,0.004283468224024478,0.006820504246463521,-0.0007254932140745574,-0.02856937664078396,0.04791410324640211,,,,,,,
分位曲线,MA_BULL 已多头排列,0.004945166301059234,0.00808212280607501,0.013052533364289465,0.00998120376818723,0.001170175573861565,-0.03424571904080942,,,,,,,
分位曲线,MA_BEAR 空头排列,0.0029723529768859724,0.0032523456573393394,0.00032663282905032176,-0.004017123778193854,-0.012217373475086113,0.017342388741983683,,,,,,,
分位曲线,NEAR_HIGH 距新高<=10%,0.007529914851691577,0.017511239069367912,0.01712117753004283,0.033514140433504425,0.02686257671154424,0.005107764936372661,,,,,,,
分位曲线,FAR_HIGH 距新高>30%,0.009699444540125168,0.008467436627528802,0.010230249122772705,0.013032000055287707,0.005966334888195757,0.020273722805534966,,,,,,,
分位曲线,TO_Q5 换手最高档,-0.006156026901367961,-0.000937229257247929,0.009408318425626838,0.013048109646858208,0.01267505912225153,0.04192165959307159,,,,,,,
分位曲线,TO_Q1 换手最低档,0.0020924475521403307,-0.013221517366750146,-0.057638118330914256,-0.1206120180305148,-0.14939906826942395,-0.16824299539805088,,,,,,,
分位曲线,ABOVE_MA100 站上20周线,0.004565171454398165,0.009959820919614337,0.019655619013651537,0.027973409032489238,0.03730819361312587,0.05302980956116121,,,,,,,
判据,Spearman,,,,,,,0.08391608391608392,0.1258741258741259,-0.2870629370629371,0.5596153846153848,2.0,12.0,0.0311639587908511
