部分,信号,门槛,n_mo,obs,rnd,lift,lo,hi,p
A,"AGE_YOUNG 上市[1,3)年",≥100%,135,0.17510518176080556,0.1624903740690673,1.0776341845725352,1.0516500318211774,1.1063839075172937,0.0
A,"AGE_YOUNG 上市[1,3)年",≥200%,135,0.052596095997907766,0.04590980414469291,1.1456397381296122,1.0907541705104795,1.2011682133197015,0.0
A,"AGE_YOUNG 上市[1,3)年",≥500%,135,0.005306481233207101,0.0033630321212030755,1.577885979664323,1.3164205908726554,1.9431822993533345,0.0
A,SMALL_MV 市值最小档,≥100%,135,0.2119286395624676,0.2020347729141885,1.0489711078225201,1.0421151951760812,1.0549244015276025,0.0
A,SMALL_MV 市值最小档,≥200%,135,0.06500321804025315,0.06336245909671262,1.0258948116429032,1.01316978451469,1.037760035204852,0.0
A,SMALL_MV 市值最小档,≥500%,135,0.005650068636852638,0.006187817246807106,0.9130955895260248,0.8754526918558797,0.9527550270259116,1.0
A,REGIME_RED 红轴,≥100%,67,0.21381184301536055,0.21132908105342543,1.0117483213836882,1.009878136026358,1.0134390637287036,0.0
A,REGIME_RED 红轴,≥200%,67,0.057034832162228745,0.056549625082650753,1.0085801997602784,1.0039723150846067,1.013645123118343,0.0
A,REGIME_RED 红轴,≥500%,67,0.004160035877300104,0.004221299578095043,0.9854870047336027,0.966324855822648,1.004379045545792,0.92
A,RPS250>=90,≥100%,135,0.16750318704194647,0.16069995871407397,1.0423349724686437,1.0184137776934263,1.0669454770754074,0.0
A,RPS250>=90,≥200%,135,0.04831679409642624,0.04561370602100996,1.0592604353211559,1.0106419027710312,1.110015133009875,0.025
A,RPS250>=90,≥500%,135,0.0030912926854366565,0.0032166351747482933,0.9610330415162965,0.7880177953968059,1.1815196225838644,0.58
A,RPS50>=95,≥100%,135,0.1754590535180075,0.1602206488556466,1.0951088687456896,1.0679832770610913,1.129446622344261,0.0
A,RPS50>=95,≥200%,135,0.05563061963864391,0.04555841217482267,1.2210833736955287,1.1461088329115594,1.3039521919218537,0.0
A,RPS50>=95,≥500%,135,0.004276006755034033,0.0032824341122683464,1.3026938572969777,1.0276414131660296,1.8208825811901845,0.04
A,MA_BULL 已多头排列,≥100%,135,0.1645666693152516,0.1620533062343636,1.015509483510649,1.0050036659263715,1.0262051667806542,0.005
A,MA_BULL 已多头排列,≥200%,135,0.04596930495791072,0.04572312685229622,1.0053841047750245,0.9876701699352449,1.0231181224684163,0.325
A,MA_BULL 已多头排列,≥500%,135,0.003131493846602512,0.0033287008939138826,0.9407555519115763,0.8746492726005722,1.0117281281527828,0.915
A,PRE_CROSS 金叉前夜,≥100%,131,0.15828318648400422,0.16467994773771388,0.9611564046407289,0.9477008858630178,0.9743770189180383,1.0
A,PRE_CROSS 金叉前夜,≥200%,131,0.0446496915678097,0.04693509980722998,0.9513070548734994,0.9204441470514979,0.9819963476561648,0.995
A,PRE_CROSS 金叉前夜,≥500%,131,0.00341769011392326,0.0033909199830978063,1.0078946512919476,0.8559049391863606,1.155351548429948,0.43
A,VOL_EXP 量比>=1.2,≥100%,135,0.1635915916708923,0.1618659297220076,1.0106610572827053,0.9987410703994322,1.0233980339310562,0.065
A,VOL_EXP 量比>=1.2,≥200%,135,0.04660273776532051,0.04584228144811377,1.0165885355873368,0.991719413222541,1.0418752807677893,0.145
A,VOL_EXP 量比>=1.2,≥500%,135,0.0030468025523871854,0.0033525338533356075,0.9088059019466025,0.8095030037289646,1.0268583752321156,0.895
A,NEAR_HIGH 距新高<=10%,≥100%,131,0.1650562294626965,0.16122457244542474,1.023765961721305,1.0017144799956896,1.0473729903745408,0.04
A,NEAR_HIGH 距新高<=10%,≥200%,131,0.05053320897334381,0.04646219582042644,1.0876199043336563,1.0400838456416277,1.1336816955685558,0.005
A,NEAR_HIGH 距新高<=10%,≥500%,131,0.0032969753874143607,0.003373330331420573,0.9773651150333511,0.8474432679180536,1.154067961723341,0.575
A,NI_ACCEL 净利加速,≥100%,132,0.14867540040875238,0.14652080141852322,1.0147050723813251,1.003802820471482,1.0261373799958309,0.01
A,NI_ACCEL 净利加速,≥200%,132,0.038094795441002506,0.03769704613389611,1.0105512062057498,0.9787744204753626,1.0408756280779192,0.29
A,NI_ACCEL 净利加速,≥500%,132,0.0029684999441448446,0.0026562368568486617,1.1175584498389384,0.9754006502654452,1.3224861152656195,0.085
A,USER_SETUP 用户四条件,≥100%,130,0.1776865052710989,0.15743716256516552,1.128618569948832,1.0820882608623017,1.1767782104959703,0.0
A,USER_SETUP 用户四条件,≥200%,130,0.05879976217512078,0.044796301258308746,1.3126030614908122,1.2033647832585335,1.4520068281662475,0.0
