部分,口径,期末,峰值,兑现率,案例,日期,n,该批ge100,随机ge100中位,随机ge100_5,随机ge100_95,该批中位,随机中位,案例峰值,排名
A,3个月,0.7869114126097367,0.8092577813248207,0.9723865877712029,,,,,,,,,,,
A,6个月,0.5107741420590584,0.9481245011971271,0.5387205387205387,,,,,,,,,,,
A,9个月,0.683958499600958,0.9481245011971271,0.7213804713804716,,,,,,,,,,,
A,12个月/250日,0.8308060654429372,1.0662410215482843,0.7791916167664672,,,,,,,,,,,
A,首次触及100%,225.0,,,,,,,,,,,,,
B,3个月,,,,宁德时代,2019-12-31,104.0,0.057692307692307696,0.009615384615384616,0.0,0.038461538461538464,0.31829321092741825,0.12718278507998154,0.5965618141916604,20.0
B,6个月,,,,宁德时代,2019-12-31,104.0,0.07692307692307693,0.04807692307692308,0.028846153846153848,0.08653846153846154,0.38017553657201153,0.19172249176692757,0.6410021945866862,27.0
B,9个月,,,,宁德时代,2019-12-31,104.0,0.16346153846153846,0.15384615384615385,0.10576923076923077,0.21153846153846154,0.5684952182581641,0.3536327048112238,1.1093635698610096,11.0
B,12个月/250日,,,,宁德时代,2019-12-31,104.0,0.25961538461538464,0.20192307692307693,0.14423076923076922,0.2692307692307692,0.6753784504001219,0.41783399619475303,2.8893562545720552,3.0
B,3个月,,,,生益电子,2024-05-31,87.0,0.0,0.0,0.0,0.011494252873563218,0.03254437869822491,0.014489209731519681,0.9006211180124222,1.0
B,6个月,,,,生益电子,2024-05-31,87.0,0.04597701149425287,0.04597701149425287,0.011494252873563218,0.09195402298850575,0.10862944162436561,0.22881921280853912,1.5341614906832297,2.0
B,9个月,,,,生益电子,2024-05-31,87.0,0.09195402298850575,0.10344827586206896,0.04597701149425287,0.14942528735632185,0.16500000000000004,0.30222911791247964,1.9972394755003449,2.0
B,12个月/250日,,,,生益电子,2024-05-31,87.0,0.09195402298850575,0.12643678160919541,0.06896551724137931,0.19540229885057472,0.2561224489795917,0.36745973044049973,1.9972394755003449,4.0
B,3个月,,,,宇通客车,2024-01-31,105.0,0.0,0.0,0.0,0.01904761904761905,0.19306930693069302,0.22159090909090895,0.8092577813248207,1.0
B,6个月,,,,宇通客车,2024-01-31,105.0,0.009523809523809525,0.01904761904761905,0.0,0.0380952380952381,0.2977707006369428,0.25103734439834025,0.9481245011971271,2.0
B,9个月,,,,宇通客车,2024-01-31,105.0,0.01904761904761905,0.05714285714285714,0.01904761904761905,0.10476190476190476,0.35355805243445704,0.360628611439773,0.9481245011971271,3.0
B,12个月/250日,,,,宇通客车,2024-01-31,105.0,0.0380952380952381,0.11428571428571428,0.06666666666666667,0.18095238095238095,0.3835978835978837,0.4163794222186975,1.0662410215482843,3.0
