,规则,笔数,胜率,均盈,均亏,盈亏比,毛期望,净期望,中位天数,最大单笔,>100%笔数,>100%占比
A,"基线:-10%固定止损,无止盈,252日",70124.0,0.1864126404654612,0.7097101241330617,-0.10230316970860343,6.937322921221051,0.04906637248947779,0.046066372489477786,38.0,20.9811320754717,2771.0,0.039515715019109006
B,"纯10周线:无固定止损,跌破MA50离场",70124.0,0.32998688038332097,0.22768522612989633,-0.08604170801371162,2.646219274187495,0.017484064276561153,0.014484064276561154,28.0,7.802744425385935,748.0,0.010666818778164394
C,固定+10周线接管:站上MA50后改用MA50,70124.0,0.327220352518396,0.22795881405066265,-0.08465054051326697,2.6929398521080383,0.01764160268769032,0.014641602687690321,27.0,7.802744425385935,744.0,0.010609776966516457
D,条件移动止盈:涨≥100%后启动20%回撤止盈,70124.0,0.20249843135017967,0.7190595206036232,-0.10208835870696512,7.04350162654309,0.0641927987599557,0.0611927987599557,37.0,10.760352422907488,3052.0,0.043522902287376646
E,条件+10周线:涨≥100%后改用MA50离场,70124.0,0.2013861160230449,0.6759910300132239,-0.1021020254043021,6.620740649722124,0.05459511293073732,0.05159511293073732,38.0,15.42329020332717,2620.0,0.03736238662939935
F,基线+放开持有期:504日,70124.0,0.14662597684102446,0.9714190539571776,-0.10281530291747212,9.44819522378801,0.054695359015463095,0.05169535901546309,38.0,36.31360946745562,3170.0,0.04520563573099082
