部分,口径,门槛,月数,信号,随机,lift,lift下界,lift上界,p,笔数,占比,实收,峰值,兑现率,收益贡献,中位持有,轴色
A,峰值 H=250(§77锚点),≥100%,150.0,0.17759584901833403,0.1654668146539907,1.0733019148867189,1.0547075924246563,1.0942696517175707,0.0,,,,,,,,
A,峰值 H=250(§77锚点),≥200%,150.0,0.05176897833723293,0.044900590820774994,1.1529687558872836,1.1015378808615406,1.214203066339468,0.0,,,,,,,,
A,峰值 H=250(§77锚点),≥500%,150.0,0.0045352161101710605,0.0030746085017455183,1.475054826523873,1.2166925769825176,1.751539637805732,0.01,,,,,,,,
A,峰值 H=750(本节窗口),≥100%,125.0,0.41079096879280014,0.4012371597327233,1.0238108780015314,1.0105097106277399,1.0354892453492086,0.0,,,,,,,,
A,峰值 H=750(本节窗口),≥200%,125.0,0.20578026585853337,0.1921019680492552,1.0712033195087884,1.0506225716362145,1.092169580470088,0.0,,,,,,,,
A,峰值 H=750(本节窗口),≥500%,125.0,0.03923831135036359,0.0318896006664519,1.2304422297655986,1.1734375363461023,1.2880853562544778,0.0,,,,,,,,
A,H0 持有到窗口末,≥100%,125.0,0.1679562837664295,0.14864732664301908,1.1298977758932822,1.1030397947809298,1.1562809957118054,0.0,,,,,,,,
A,H0 持有到窗口末,≥200%,125.0,0.06745967953082134,0.05313486699427294,1.2695934580600792,1.2190705053403965,1.325394423314214,0.0,,,,,,,,
A,H0 持有到窗口末,≥500%,125.0,0.008373327405173547,0.006572883875783866,1.2739198749612726,1.1654208046759695,1.3880213491103095,0.0,,,,,,,,
A,A1 个股破20周线,≥100%,125.0,0.020010816054248537,0.015521423544519969,1.2892384514121196,1.1809267788022435,1.4344860693261259,0.0,,,,,,,,
A,A1 个股破20周线,≥200%,125.0,0.006025573498367223,0.0038926930544273897,1.5479189892750425,1.2821735236469334,1.8196350849208984,0.0,,,,,,,,
A,A1 个股破20周线,≥500%,125.0,0.0004899433366476826,0.00039268105290469384,1.2476877430768092,0.9609593228543071,1.728297584692968,0.095,,,,,,,,
A,A2 个股破10月线,≥100%,125.0,0.04112301809132721,0.03615251150041233,1.1374871726645654,1.0848847459872344,1.2024845957393997,0.0,,,,,,,,
A,A2 个股破10月线,≥200%,125.0,0.014060230878149345,0.012651944380184181,1.1113098868953977,1.037237679368298,1.1940296799582146,0.01,,,,,,,,
A,A2 个股破10月线,≥500%,125.0,0.0015655155604135404,0.0016828070211571124,0.9303001120931137,0.8041966686791533,1.081436799374019,0.755,,,,,,,,
A,B2 指数破10月线,≥100%,125.0,0.020920117997975694,0.018412414079608207,1.136196367707414,1.0213513264931056,1.274019723858266,0.03,,,,,,,,
A,B2 指数破10月线,≥200%,125.0,0.005108113749620718,0.0035407766009997255,1.4426534981558736,1.1782908956956237,1.8735276645859957,0.0,,,,,,,,
A,B2 指数破10月线,≥500%,125.0,0.000218520838610427,0.00018555869191053568,1.1776373090395762,0.5270079234768853,3.1650008514693364,0.27,,,,,,,,
A,B3 指数月线MACD,≥100%,125.0,0.04193952811229862,0.037018957063256336,1.132920304605941,1.0649829740428007,1.1975109559289001,0.0,,,,,,,,
A,B3 指数月线MACD,≥200%,125.0,0.01559760161109785,0.01107460802510741,1.40841116685451,1.2840913997337624,1.5365521475464474,0.0,,,,,,,,
A,B3 指数月线MACD,≥500%,125.0,0.002626536437563942,0.001580131818680324,1.662226155130236,1.2985497224807985,2.0637630163852183,0.0,,,,,,,,
A,C  基地计数,≥100%,125.0,0.11853854732822568,0.10536820703796199,1.124993493393303,1.0874235897883582,1.1683744385087242,0.0,,,,,,,,
A,C  基地计数,≥200%,125.0,0.034683654804450244,0.030643622587069538,1.1318392499418606,1.0653268621629857,1.203427557992262,0.0,,,,,,,,
A,C  基地计数,≥500%,125.0,0.00290224215406814,0.0024051387781783766,1.2066838639000548,1.0299201086975165,1.424409132731208,0.015,,,,,,,,
B,H0 持有到窗口末,<100%,,,,,,,,29863.0,0.562985446044793,-0.13823456389529043,0.3986869034791017,-0.3467246169588222,-0.15238092981947218,,
B,H0 持有到窗口末,"[100,200)",,,,,,,,10687.0,0.201474247794284,0.5052635557003634,1.4272595228710103,0.3540095880278299,0.19932158025898739,,
B,H0 持有到窗口末,"[200,500)",,,,,,,,9515.0,0.17937938315360832,1.446877627229315,3.1024691795652823,0.4663632556801261,0.5081841695156255,,
B,H0 持有到窗口末,≥500%,,,,,,,,2979.0,0.056160923007314685,4.045639074879411,8.289859779458013,0.48802261829619425,0.44487518004485943,,
B,H0 持有到窗口末,全体,,,,,,,,53044.0,1.0,0.5107203880800357,1.5340961474641428,0.33291289396968715,,750.0,
B,A1 个股破20周线,<100%,,,,,,,,29863.0,0.562985446044793,-0.02999600464674173,0.3986869034791017,-0.07523699520848208,-0.49250436845649204,,
B,A1 个股破20周线,"[100,200)",,,,,,,,10687.0,0.201474247794284,0.0270280859957458,1.4272595228710103,0.018937050734387346,0.15881237551333063,,
B,A1 个股破20周线,"[200,500)",,,,,,,,9515.0,0.17937938315360832,0.11884773489354693,3.1024691795652823,0.03830746673531818,0.6217459172440463,,
B,A1 个股破20周线,≥500%,,,,,,,,2979.0,0.056160923007314685,0.4346736928282576,8.289859779458013,0.05243438422268179,0.7119460756991156,,
B,A1 个股破20周线,全体,,,,,,,,53044.0,1.0,0.034288658410345466,1.5340961474641428,0.022351049161439155,,3.0,
B,A2 个股破10月线,<100%,,,,,,,,29863.0,0.562985446044793,-0.05198385593535343,0.3986869034791017,-0.1303876688241361,-0.25868482785380337,,
B,A2 个股破10月线,"[100,200)",,,,,,,,10687.0,0.201474247794284,0.04531652879763557,1.4272595228710103,0.031750727931020496,0.0807014760677972,,
B,A2 个股破10月线,"[200,500)",,,,,,,,9515.0,0.17937938315360832,0.31439583715601543,3.1024691795652823,0.10133729586318357,0.4984878903487492,,
B,A2 个股破10月线,≥500%,,,,,,,,2979.0,0.056160923007314685,1.3688221496646524,8.289859779458013,0.16512006066212925,0.679495461437257,,
B,A2 个股破10月线,全体,,,,,,,,53044.0,1.0,0.11313440592439027,1.5340961474641428,0.07374662019157088,,5.0,
B,B2 指数破10月线,<100%,,,,,,,,29863.0,0.562985446044793,-0.06215509362269448,0.3986869034791017,-0.15589951182319817,-2.474420481600746,,
B,B2 指数破10月线,"[100,200)",,,,,,,,10687.0,0.201474247794284,0.05322922111464829,1.4272595228710103,0.037294703774387726,0.7583492530031563,,
B,B2 指数破10月线,"[200,500)",,,,,,,,9515.0,0.17937938315360832,0.12677417651468997,3.1024691795652823,0.04086234839968775,1.6080625336392753,,
B,B2 指数破10月线,≥500%,,,,,,,,2979.0,0.056160923007314685,0.27900328883262954,8.289859779458013,0.03365597202548469,1.1080086949583143,,
B,B2 指数破10月线,全体,,,,,,,,53044.0,1.0,0.01414165998354949,1.5340961474641428,0.009218235771549012,,7.0,
B,B3 指数月线MACD,<100%,,,,,,,,29863.0,0.562985446044793,-0.03796481708884086,0.3986869034791017,-0.09522464058273461,-0.1983740684169532,,
B,B3 指数月线MACD,"[100,200)",,,,,,,,10687.0,0.201474247794284,0.16060270147581068,1.4272595228710103,0.11252522677357905,0.30031623440166333,,
B,B3 指数月线MACD,"[200,500)",,,,,,,,9515.0,0.17937938315360832,0.34098226855934866,3.1024691795652823,0.10990673841508622,0.5676893444984474,,
B,B3 指数月线MACD,≥500%,,,,,,,,2979.0,0.056160923007314685,0.6338083556419349,8.289859779458013,0.07645585962895178,0.3303684895168426,,
B,B3 指数月线MACD,全体,,,,,,,,53044.0,1.0,0.10774412025389224,1.5340961474641428,0.07023296449312712,,23.0,
B,C  基地计数,<100%,,,,,,,,29863.0,0.562985446044793,-0.1600892841497469,0.3986869034791017,-0.4015413668037341,-0.4183070149352505,,
B,C  基地计数,"[100,200)",,,,,,,,10687.0,0.201474247794284,0.25986549729353514,1.4272595228710103,0.18207305197782217,0.24299866161409017,,
B,C  基地计数,"[200,500)",,,,,,,,9515.0,0.17937938315360832,0.8093798040400723,3.1024691795652823,0.26088246399710646,0.6738459258207887,,
B,C  基地计数,≥500%,,,,,,,,2979.0,0.056160923007314685,1.92383776060928,8.289859779458013,0.2320712064848773,0.5014624275003716,,
B,C  基地计数,全体,,,,,,,,53044.0,1.0,0.21545882288870466,1.5340961474641428,0.1404467531222587,,217.0,
