起,止,幅度,天数,前60日收益,前60日换手,换手历史分位,前60日量比,距250日高,距750日高,过去750日收益,三年区间位置,流通市值亿,大涨
2013-01-04,2013-02-08,0.2247191011235954,25,0.0,0.002632565750971009,0.0,1.0,0.0,0.0,0.0,,163.94076837048118,False
2013-03-13,2013-07-02,0.47807017543859676,71,0.024719101123595433,0.0013382400360411545,0.6818181818181818,1.0,-0.16330275229357805,-0.16330275229357805,0.024719101123595433,0.10999999999999943,167.99323680211103,False
2013-08-09,2013-09-10,0.137630662020906,22,-0.025466893039049143,0.002552913347917948,0.7552447552447552,1.3663493677827279,-0.1483679525222552,-0.1483679525222552,0.28988764044943816,0.5633187772925764,208.72678141666944,False
2013-11-14,2014-02-17,0.26908396946564883,61,-0.12520868113522532,0.0025521021535516043,0.7024390243902439,1.2296357883069091,-0.2225519287833828,-0.2225519287833828,0.17752808988764035,0.34497816593886466,190.54500603194214,False
2014-03-20,2015-04-16,1.25,231,-0.14093959731543626,0.002492147662018488,0.6643598615916955,1.0595096444095105,-0.24035608308605338,-0.24035608308605338,0.15056179775280887,0.29257641921397376,186.18137993960758,True
2015-05-05,2015-05-26,0.29244357212953886,15,0.14494382022471908,0.004230103454620516,0.7875939849624061,1.00603908374996,-0.11545138888888895,-0.11545138888888895,1.2898876404494382,0.8118811881188118,364.3632410835522,False
2015-07-27,2015-08-10,0.23131313131313114,10,-0.07042253521126762,0.009871924434340894,0.9508474576271186,1.6608723236786345,-0.2482915717539863,-0.2482915717539863,1.2247191011235956,0.6250000000000001,350.6407840180255,False
2015-08-25,2015-12-22,0.3600000000000001,78,-0.2957746478873239,0.009441744565809582,0.9345335515548282,1.534649385071823,-0.31662870159453305,-0.31662870159453305,1.0224719101123596,0.5217889908256881,320.36779990900743,False
2016-02-01,2016-07-28,0.39708939708939717,119,-0.20364238410596036,0.0036908182321831336,0.5885634588563459,0.6375099116014454,-0.2695520121488232,-0.2695520121488232,1.1617977528089884,0.5928899082568807,340.147193547352,False
2017-01-12,2017-04-05,0.130984643179765,52,-0.13583138173302112,0.003369249770209488,0.560126582278481,0.9064628926240865,-0.1763392857142857,-0.1763392857142857,0.9838709677419355,0.7151442307692307,364.77009614711227,False
2017-05-10,2017-11-13,0.45536519386834984,126,-0.03982683982683988,0.004200569801782483,0.6904296875,1.1943174240418148,-0.17485119047619047,-0.17485119047619047,0.8733108108108107,0.7175480769230769,365.4291207110636,False
2017-12-08,2018-01-03,0.13155949741315598,17,0.061176470588235166,0.005839302095489937,0.8246364414029085,1.3764934182028852,-0.1617100371747212,-0.1617100371747212,1.1206896551724137,0.7347560975609756,426.61337567239786,False
2018-01-31,2018-03-09,0.10279667422524552,22,-0.11148421759570182,0.0049038900410878685,0.7570480928689884,1.1809714808491774,-0.1802973977695167,-0.1802973977695167,0.5712589073634204,0.6325757575757576,485.1912144910441,False
2018-10-30,2019-02-26,0.4285714285714286,78,-0.3654773384763741,0.0022580624687038664,0.2861271676300578,0.6925038693386345,-0.5923172242874846,-0.5923172242874846,-0.33333333333333326,0.0,234.23539765417064,False
2019-03-14,2019-04-24,0.2775712515489468,28,0.10851648351648358,0.004518374559248521,0.7388059701492538,1.4504515029269613,-0.4468814256339959,-0.5,-0.24296435272045025,0.15585774058577406,287.2765439314829,False
2019-06-03,2019-07-09,0.13722998729351965,25,-0.08275058275058278,0.008768641266045917,0.931237721021611,2.0462741326279517,-0.4161721068249258,-0.5123915737298637,-0.2909909909909909,0.13493723849372385,270.14406444090054,False
2019-08-07,2019-09-06,0.26,22,-0.06213364595545123,0.0029728732772147503,0.4672600127145582,0.6684971959010301,-0.24528301886792447,-0.5043370508054523,-0.33277731442869063,0.14853556485355646,274.60641874551516,False
2019-10-08,2020-01-22,0.187995469988675,75,0.0219907407407407,0.003777785432925293,0.6225946617008069,0.7813218854348345,-0.14354995150339478,-0.45291201982651796,-0.2930344275420337,0.23535564853556484,303.09683469036236,False
