配置,事件数,选中率,胜率,净期望,年化_择时ON,年化_择时OFF,回撤,p
【基线】全部OOS事件,9415,1.0,0.15432819968135952,0.016085798202452956,0.015009323324180146,-0.019330133123527604,-0.6203705939190297,
② 三条全中(第六十一节),1606,0.17057886351566648,0.20610211706102116,0.034953034329073054,0.10367001132949683,0.0800936974181945,-0.35332725989713054,0.15333333333333332
**A 三条全中 且 非涨停/高换手驱动**,670,0.07116303770578863,0.2537313432835821,0.033330704079290716,-0.003041968928179206,-0.013213659800023314,-0.4173051912489466,0.76
【对照】三条全中 且 **是** 涨停/高换手驱动,936,0.09941582580987786,0.172008547008547,0.0361125844755521,0.08716376648468738,0.1204521841180759,-0.49523853745222746,
