月,红轴,n_0-1年,0-1年_G100,0-1年_G200,0-1年_G500,n_1-2年,1-2年_G100,1-2年_G200,1-2年_G500,n_2-3年,2-3年_G100,2-3年_G200,2-3年_G500,n_3-5年,3-5年_G100,3-5年_G200,3-5年_G500,n_5-10年,5-10年_G100,5-10年_G200,5-10年_G500,n_>10年,>10年_G100,>10年_G200,>10年_G500
2013-01,0,130,0.6230769230769231,0.23076923076923078,0.023076923076923078,238,0.6260504201680672,0.29411764705882354,0.029411764705882353,322,0.562111801242236,0.2391304347826087,0.031055900621118012,190,0.5052631578947369,0.19473684210526315,0.042105263157894736,352,0.4005681818181818,0.10795454545454546,0.017045454545454544,1039,0.3618864292589028,0.08565928777670838,0.006737247353224254
2013-02,0,121,0.6198347107438017,0.32231404958677684,0.03305785123966942,227,0.6563876651982379,0.3524229074889868,0.039647577092511016,320,0.621875,0.234375,0.0375,206,0.5825242718446602,0.2524271844660194,0.043689320388349516,355,0.447887323943662,0.15774647887323945,0.022535211267605635,1048,0.41889312977099236,0.11164122137404581,0.009541984732824428
2013-03,0,97,0.7525773195876289,0.44329896907216493,0.08247422680412371,217,0.8018433179723502,0.5806451612903226,0.12442396313364056,320,0.759375,0.41875,0.0625,228,0.7368421052631579,0.4517543859649123,0.11403508771929824,351,0.7321937321937322,0.31339031339031337,0.037037037037037035,1048,0.6583969465648855,0.24045801526717558,0.016221374045801526
2013-04,0,85,0.9294117647058824,0.6823529411764706,0.16470588235294117,209,0.8899521531100478,0.6411483253588517,0.19138755980861244,310,0.8580645161290322,0.5806451612903226,0.11935483870967742,247,0.8259109311740891,0.5182186234817814,0.1902834008097166,351,0.811965811965812,0.4301994301994302,0.07977207977207977,1047,0.7593123209169055,0.37153772683858644,0.034383954154727794
2013-05,0,65,0.9384615384615385,0.7076923076923077,0.2153846153846154,203,0.9359605911330049,0.6896551724137931,0.2413793103448276,301,0.9169435215946844,0.6843853820598007,0.18604651162790697,262,0.8854961832061069,0.648854961832061,0.1946564885496183,364,0.8516483516483516,0.5494505494505495,0.10989010989010989,1049,0.8169685414680649,0.5109628217349858,0.05910390848427073
2013-06,0,43,0.9767441860465116,0.8372093023255814,0.3023255813953488,201,0.9601990049751243,0.8159203980099502,0.34328358208955223,305,0.9573770491803278,0.819672131147541,0.3081967213114754,266,0.9360902255639098,0.7593984962406015,0.24060150375939848,367,0.9209809264305178,0.7193460490463215,0.18256130790190736,1056,0.9251893939393939,0.6960227272727273,0.12310606060606061
2013-07,0,28,0.9642857142857143,0.7857142857142857,0.2857142857142857,196,0.9591836734693877,0.7806122448979592,0.2602040816326531,295,0.9491525423728814,0.7661016949152543,0.23389830508474577,286,0.9265734265734266,0.7202797202797203,0.21678321678321677,368,0.9211956521739131,0.7010869565217391,0.16032608695652173,1061,0.9000942507068803,0.6644674835061263,0.10650329877474081
2013-08,0,14,1.0,0.7142857142857143,0.2857142857142857,185,0.9567567567567568,0.7567567567567568,0.23783783783783785,288,0.9340277777777778,0.7395833333333334,0.2048611111111111,311,0.9131832797427653,0.6655948553054662,0.17684887459807075,362,0.9116022099447514,0.6519337016574586,0.1132596685082873,1076,0.8773234200743495,0.5678438661710037,0.06691449814126393
2013-09,0,6,,,,172,0.9418604651162791,0.75,0.21511627906976744,282,0.9078014184397163,0.6773049645390071,0.18085106382978725,331,0.8942598187311178,0.6374622356495468,0.16012084592145015,358,0.9106145251396648,0.5921787709497207,0.1005586592178771,1090,0.8642201834862385,0.5412844036697247,0.05963302752293578
2013-10,0,2,,,,162,0.9567901234567902,0.7592592592592593,0.20987654320987653,271,0.933579335793358,0.7011070110701108,0.18081180811808117,347,0.9250720461095101,0.6829971181556196,0.17002881844380405,353,0.9235127478753541,0.6572237960339944,0.09631728045325778,1093,0.8975297346752058,0.5681610247026533,0.06404391582799634
