格,事件数,ge100,对照A,lift,p,对照B
A|legacy|nobrk,21147,0.05400293185794675,0.05168581831938336,1.0448307410795974,0.05,0.07071232617538549
A|legacy|brk,166,0.09036144578313253,0.07228915662650602,1.25,0.175,0.0783132530120482
A|adaptive|nobrk,10309,0.05616451644194393,0.05868658453778252,0.9570247933884297,0.865,0.0714913565777908
A|adaptive|brk,83,0.04819277108433735,0.07228915662650602,0.6666666666666667,0.89,0.08433734939759036
B|legacy|nobrk,4668,0.05784061696658098,0.05612682090831191,1.0305343511450382,0.275,0.08654670094258783
B|legacy|brk,15,0.13333333333333333,0.06666666666666667,2.0,0.395,0.13333333333333333
B|adaptive|nobrk,4626,0.06658019887591872,0.062040639861651536,1.0731707317073171,0.07,0.08378554373779032
B|adaptive|brk,14,0.07142857142857142,0.07142857142857142,1.0,0.715,0.14285714285714285
