code,name,window,突破周,突破周收盘,20周线,距20周线,平台上沿(前20周最高周收),距52周高,距52周低,+4周,+8周,+13周,+26周,26周内最大涨,26周内最大跌
600143,金发科技,2025-06,2025-07-25,12.55,10.54,0.191,12.2,-0.0413,0.9702,0.2781,0.7044,0.5498,0.6709,0.7044,-0.0255
600580,卧龙电驱,2025-06,2025-08-08,23.83,20.49,0.1631,23.79,0.0,1.8885,0.6081,1.0222,0.8703,0.8003,1.1301,0.0
