,子集只数,全期,前段,后段,p_全期,p_后段
【池基线】不筛,340.0,-0.06911670256095381,1.1252699055311566,-0.1389267039395119,,
1 双增长,184.0,0.0014641396989845123,1.2610595829829192,-0.07112529942294521,0.0,0.0
2 盈利加速 且 当季>25%,87.0,0.01094114310531813,2.0624883364605404,-0.08041436742807351,0.0,0.0
3 高估值 BP最低30%,231.0,-0.06071187319060589,1.3113593733256192,-0.14315720957877232,0.06333333333333334,0.7666666666666667
4 破净 BP最高30%,23.0,-0.07215754322348689,1.0543816687949144,-0.12916458524851138,0.44333333333333336,0.2866666666666667
5 小市值 最小50%,79.0,-0.027781677747607425,1.6245358163060426,-0.12764024264420015,0.03666666666666667,0.19666666666666666
6 抗跌 rmdd20最浅50%,171.0,-0.09528500229178327,0.8765314781215499,-0.15807880443941602,0.9966666666666667,0.98
7 换手不冷 分位>30%,293.0,-0.09957703595240053,1.0307487463079563,-0.1646613180139188,1.0,1.0
8 现金流不差 OCF/NI≥0,208.5,0.023868463886896674,1.790546342026818,-0.06816117544383615,0.0,0.0
