snap,days,n_user,n_mine,n_mine_dual,overlap,ret_user_dual,ret_mine,ret_mine_dual,mv_q1,mv_q2,mv_q3,pe_q1,pe_q2,pe_q3
2023-10-16,9,182,457,154,0.5714285714285714,-0.013631425433595997,-0.03612980396762083,-0.03388603451162338,-0.020187576381324807,-0.010549380102216368,-0.010071707446930709,-0.015328243131688166,0.007838820704561376,-0.02407713435188997
2023-10-28,1,141,458,150,0.5815602836879432,0.005049102502396822,0.019010799458726253,0.01267287888544567,0.0056592761836804124,0.008241055279538377,0.002685540771343856,-0.011191020373415208,0.0040756633352565285,0.0214924122830402
2023-10-30,4,169,459,144,0.5798816568047337,-0.01496952482465494,-0.007766409869813347,0.003660375070693706,-0.0020706268018297414,-0.026210411775000168,-0.017823332179293733,-0.021328405458396853,-0.00846756727228966,-0.014597196328881804
2023-11-05,16,103,459,154,0.5728155339805825,0.015492831892214821,0.043125830929929256,0.03991271954431324,0.01127226585385083,0.03331951271450968,0.0024809398023604525,0.02657803868312112,0.03739750004343666,-0.013577965088434965
2023-11-27,4,148,462,151,0.5608108108108109,0.015464887687362759,0.016937687315768418,0.022082958587733514,0.00424768038252559,0.03526158454776603,0.007592423019668206,0.003795515841711783,0.011975461927892304,0.02543222834354081
2023-12-03,5,175,462,149,0.5085714285714286,-0.030788726116621944,-0.023982631276468217,-0.019760339711698525,-0.04218864697797069,-0.03894916804947231,-0.011491603384772859,-0.03587460570558059,-0.001903845557856157,-0.04288441011189605
2023-12-10,5,130,462,143,0.5461538461538461,-0.004628957488474675,-0.0022113790035389854,0.0010284565126536483,0.007618876812874435,-0.008344908992507732,-0.013309478345952051,0.014881232022768384,-0.012116072072236982,-0.018889388570468683
2023-12-17,5,126,462,149,0.5238095238095238,-0.038025646425598025,-0.050676999653651196,-0.04893011890315105,-0.0268481118842909,-0.03299245167098915,-0.053984715983783585,-0.019635671284037846,-0.04784788695714379,-0.040217891851479344
2023-12-24,5,118,463,151,0.4576271186440678,0.03132898356174384,0.03111150641909008,0.031027840904629813,0.04159360598503221,0.030182566944833022,0.022210777755366274,0.02999024148016759,0.019409266257663833,0.041352402148756816
2023-12-30,4,89,463,155,0.550561797752809,-0.034821603955078384,-0.05461302392735251,-0.04398009317356954,-0.04571125694187327,-0.04403219179861105,-0.014721363124750817,0.0069991629898528435,-0.04423118768856733,-0.06559435235196165
2024-01-05,5,103,463,159,0.5436893203883495,-0.012608304880957273,-0.02614745806288982,-0.01831893834780615,-0.01053487706122016,-0.01265876127916625,-0.014631276302485409,-0.004711813616266752,-0.01664543111607963,-0.015818996391892385
2024-01-13,5,151,465,160,0.4900662251655629,-0.02401397839199769,-0.038114833001843616,-0.022516606261035226,-0.027920516929817448,-0.038177760914556665,-0.005943657331618968,-0.007763764598584551,-0.0262819809126562,-0.03589689615774171
2024-01-19,5,149,465,157,0.5033557046979866,-0.0011467493617522285,-0.009181895977169764,-0.009593548579421204,-0.022806571051654286,-0.00119121951547477,0.021213900714899706,0.023706745005581863,-0.007741018097357489,-0.020159111186430576
2024-01-26,9,152,465,157,0.5131578947368421,0.00336128502295165,-0.13681372739238565,-0.07127277599773896,-0.048946523756063,0.011087058379869997,0.0536404822733343,0.015593297332226645,0.033515883973183225,-0.03813842626743047
2024-02-15,5,113,465,200,0.7522123893805309,0.003186958099159354,0.07383195663698178,0.04539104576580675,0.00900349977477791,-0.0010332268987002496,0.0014195266662351497,0.02175010318265245,0.0033025474130556768,-0.016037751153626916
2024-02-23,5,270,466,186,0.6481481481481481,0.018264222641867257,0.03598357209440988,0.03449186318106282,0.013822568399360944,0.023547410715664494,0.017517031454751284,-0.0069845201268954665,0.02114366537876175,0.04104023721976945
2024-03-01,5,272,467,179,0.6066176470588235,0.03063579548614139,0.014082613957596758,0.022390536485853076,0.034448195826621605,0.026647562001372145,0.030857307946616914,0.039125398610432474,0.03142118661180524,0.021084318405862775
2024-03-08,5,274,467,175,0.583941605839416,0.005522594016507035,0.02954150272989295,0.020137137445998148,0.026338041412653716,0.006086028069619516,-0.01512174980449912,-0.013585787956177991,0.0013880200585869942,0.025777649799310808
2024-03-15,5,286,467,167,0.583916083916084,-0.019657531662330377,0.012154035003083796,0.003222207564189491,-0.024809187976509096,-0.015788802771945602,-0.018288743299966777,-0.006477070579205433,-0.026345604170373054,-0.026322528067557888
