年,未破,持有日,A实收,A峰值,B实收,B峰值,C实收,再创新高
2014,False,140,0.341194968553459,0.6839622641509435,0.09748427672955984,0.6839622641509435,0.5094339622641508,False
2017,False,146,0.24191461836998696,0.4941785252263906,0.4527813712807245,0.4941785252263906,0.31953428201811107,True
2019,False,66,-0.05128205128205132,0.17435897435897418,0.7753846153846153,1.0451282051282051,0.2020512820512821,True
2020,False,119,0.2099487929773225,0.4586686174103878,-0.34747622531089983,0.47329919531821507,0.21506949524506225,True
2014,False,60,-0.10510510510510518,0.019519519519519468,1.325825825825826,1.5735735735735736,0.3303303303303302,True
2017,False,121,0.14546327412385995,0.4920787325972156,0.04368698991838693,0.4920787325972156,0.18386941910705734,False
2019,False,16,-0.19056675542031187,-0.021300874857360208,-0.10840623811335104,0.07911753518448084,-0.18105743628756177,True
2020,False,16,-0.1820233170364799,-0.010906355772846932,-0.26927416321925535,0.06694245957126754,-0.047386235426852275,True
2020,False,16,-0.10907732536421355,-0.015315651849084788,-0.31266342921180434,0.05976839745984308,-0.14755323122898767,True
2014,False,43,-0.14695830485304173,0.04442925495557071,0.9788106630211892,2.4586466165413534,0.00956937799043045,True
2015,False,19,-0.26694386694386696,0.05197505197505192,-0.5334719334719334,0.05197505197505192,-0.23430353430353434,False
2019,False,57,-0.1401006711409396,0.06040268456375841,-0.3179530201342281,0.8779362416107384,-0.21434563758389258,True
2020,False,49,0.07087529047250185,0.7339271882261813,-0.2610379550735864,0.7339271882261813,0.056545313710302025,False
2023,False,79,0.26320132013201336,0.8366336633663369,-0.2656765676567656,0.9323432343234326,0.5222772277227723,False
2014,False,153,0.33986928104575154,0.47058823529411753,1.369281045751634,4.169934640522876,0.33986928104575154,True
2019,False,18,-0.18000000000000005,0.010000000000000009,-0.42500000000000004,0.010000000000000009,-0.2025,False
2014,False,77,-0.01473684210526327,0.19999999999999996,0.7621052631578946,2.265263157894737,0.36631578947368415,True
2017,False,46,-0.0998781973203412,0.0,-0.40682095006090135,0.0,-0.39464068209500613,False
2020,False,55,0.09633911368015413,0.6127167630057802,-0.1579961464354528,0.6127167630057802,-0.036608863198458685,False
2022,False,12,-0.18410852713178294,0.03100775193798455,-0.313953488372093,0.29263565891472854,-0.18410852713178294,True
2022,False,77,-0.09615384615384615,0.16608391608391604,0.4440559440559442,0.7465034965034967,-0.2097902097902098,False
2014,False,58,-0.1620658949243099,0.09349955476402494,0.44078361531611754,0.731967943009795,-0.04897595725734649,True
2015,False,161,0.42160844841592193,0.580016246953696,0.2891957757920389,0.580016246953696,0.580016246953696,False
2019,False,47,-0.1600361663652804,0.010849909584086825,-0.4737793851717902,0.010849909584086825,-0.27757685352622063,False
2022,False,35,-0.1558441558441559,-0.0014430014430013571,-0.4372294372294372,0.27561327561327564,0.0966810966810967,True
2024,False,26,-0.1902268760907505,-0.04537521815008738,0.62478184991274,2.0034904013961605,0.2390924956369982,True
