规则,实收每笔,峰值每笔,兑现率,组合年化,对照年化,p
R0 固定250日,0.28860412674823266,0.7361482815553139,0.3920461868612636,0.25148230236223057,0.23278526442633307,0.015
R1 破20周线,0.024001030629541488,0.18418288060284982,0.13031086576007284,0.04076852374008433,0.041903312331417863,0.605
R2 破10月线,0.0517380377083972,0.31128005526952024,0.16621057736448963,0.06597778046999525,0.0662787217069587,0.515
R3 回撤20%,0.09002525390335141,0.4038054831981794,0.22294212844843633,0.11890809671968605,0.1272800016174953,0.87
R4 乖离+50%,0.3523991323097003,0.6459650746670076,0.545538986749958,0.3110984836688522,0.32845167217566673,0.95
R5 红轴结束,0.35345784934163654,1.0815428991455378,0.3268089038547453,0.26159840230917286,0.21556847124701406,0.0
