池子,档,原年化,删右尾年化,删随机中位,随机5%,随机95%,超出随机区间
【基线】全部OOS事件,0.01,0.015009323324180146,-0.008628352036445963,0.015009323324180146,0.005070199080860905,0.02746318590386914,True
【基线】全部OOS事件,0.05,0.015009323324180146,-0.08528429222754208,0.022054056425443003,0.0002697277824460615,0.049898924316103044,True
【基线】全部OOS事件,0.1,0.015009323324180146,-0.22692636489794715,0.024554714848970205,0.0003986437706272606,0.042217396018858204,True
② 三条全中,0.01,0.10367001132949683,0.010602108566853286,0.10367001132949683,0.0847850541024584,0.10753905676988577,True
② 三条全中,0.05,0.10367001132949683,-0.060603334666519126,0.09333244384878248,0.004538394067485474,0.10940477533601622,True
② 三条全中,0.1,0.10367001132949683,-0.13083581286432877,0.09285787833571879,0.030013503644059338,0.1069134985010883,True
A 三条全中且非涨停/高换手,0.01,-0.003041968928179206,-0.003041968928179206,-0.003041968928179206,-0.008242153448028788,0.01282564544071253,False
A 三条全中且非涨停/高换手,0.05,-0.003041968928179206,-0.036757659895135686,0.0024516463987886983,-0.00974969204646351,0.014430872408149978,True
A 三条全中且非涨停/高换手,0.1,-0.003041968928179206,-0.10458088995151682,0.003631091135453346,-0.01014161807764905,0.02459271539599711,True
