池子,有效笔数,总收益和,最大单笔,top1%占比,top5%占比,top10%占比,其余90%占比
【基线】全部OOS事件,9408,179.55918948867736,8.08280701754386,1.6478649538134198,3.905298595535785,5.061526461745593,-4.061526461745593
② 三条全中,1605,60.91462009816226,5.501161440185831,0.7891735026317996,1.9317096271299252,2.5864333938230413,-1.5864333938230415
A 三条全中且非涨停/高换手,669,24.30524102904549,5.501161440185831,0.7700136515492232,1.5885120395951835,2.225966327360199,-1.2259663273601995
