部分,换手档,n,超阈率,n超阈,xi,sigma,EVT_P500,直接数_P500,相对误差,中位,CI下界,CI上界,n次
点估计,Q1,83153.0,0.3300662633939846,27446.0,0.29698707012942144,0.4723451246159668,0.0035902260703195,0.003078662225055019,0.16616432978623974,,,,
点估计,Q2,82786.0,0.34728094122194575,28750.0,0.23615686336666772,0.5129923482340031,0.0029988776885635057,0.002464184765540067,0.21698572708538433,,,,
点估计,Q3,82741.0,0.3628310027676726,30021.0,0.22400179599778391,0.5272974477798597,0.003073769156813981,0.0031785934421870656,0.03297819846408509,,,,
点估计,Q4,82786.0,0.3698572222356437,30619.0,0.2152044338325169,0.5442432421641431,0.0031997471746396506,0.0031889449906989105,0.003387384847417084,,,,
点估计,Q5,83021.0,0.35787330916274196,29711.0,0.22491630509577967,0.5502169990204935,0.0034559891967699003,0.0034087760927957985,0.013850456201533247,,,,
bootstrap,Δξ,,,,,,,,,-0.07036902308893002,-0.09327978521080643,-0.04601895400118802,200.0
bootstrap,Δσ,,,,,,,,,0.07752328989064486,0.05176351765127997,0.09892884445716404,200.0
bootstrap,Δ超阈率,,,,,,,,,0.02715844630668751,0.011089124676793325,0.0439632290383684,200.0
