一段起,一段顶,一段幅度,一段天数,平台天数,平台最深,平台缩量比,突破日,突破收盘,起涨前3年,突破前3年,流通市值亿,峰值6,期末6,峰值12,期末12
2013-03-13,2013-07-02,0.47807017543859676,71,174,0.24035608308605338,1.2914481414806673,2014-12-04,6.9,0.024719101123595433,0.550561797752809,246.7229012243877,0.9086956521739129,0.8478260869565217,0.9086956521739129,0.6347826086956521
2016-02-01,2016-07-28,0.39708939708939717,119,188,0.1763392857142857,0.7899784595935141,2017-07-21,13.93,1.1617977528089884,1.6482889733840307,439.2257445023283,0.1586503948312994,0.015793251974156597,0.1586503948312994,-0.25556353194544157
2018-10-30,2019-02-26,0.4285714285714286,78,242,0.24976167778836988,1.7242168945426635,2020-08-06,10.68,-0.33333333333333326,-0.19819819819819828,339.5960182374058,0.21535580524344566,-0.1179775280898876,0.21535580524344566,-0.17602996254681635
2022-10-10,2023-07-04,1.3302063789868668,178,86,0.18921095008051525,0.6136916695702438,2024-01-10,12.78,-0.431163287086446,0.04241435562805873,341.91981203964264,0.9100156494522693,0.619718309859155,1.0062597809076683,1.0062597809076683
2024-11-26,2025-01-24,0.38375200427578826,42,86,0.16299729625337966,0.7094028389189185,2025-09-01,26.23,1.2380382775119618,3.3571428571428577,627.6655150036243,0.23903926801372477,0.09454822722073963,,
