部分,项,均线,指数站上,指数站下,差,全样本,分位5,中位,分位95,r中位,r均值,r2中位,样本股数,信号,指数态,门槛,月数,信号命中,随机,lift,lift下界,lift上界,p,日期,距离,全市场分位,广度,指数站上20日
B,lift,,,,,,,,,,,,,UP_300 站上60周线(MA300),站下,≥100%,73.0,0.14155628660624092,0.1395607422776641,1.0142987511818085,0.9943714953222187,1.0350116144815387,0.1,,,,,
B,lift,,,,,,,,,,,,,UP_300 站上60周线(MA300),站下,≥200%,73.0,0.03559096404967535,0.03512720461234225,1.0132022870151802,0.9788122495885523,1.0505221543684338,0.27,,,,,
B,lift,,,,,,,,,,,,,UP_300 站上60周线(MA300),站下,≥500%,73.0,0.0021683425156964514,0.002449311502450036,0.8852865442094513,0.7784019462367779,1.0139924853308777,0.935,,,,,
B,lift,,,,,,,,,,,,,SMALL_MV 市值最小档(零锚点),全部,≥100%,135.0,0.2119286395624676,0.202065840235711,1.0488098300794018,1.0419845837361599,1.0552632829505826,0.0,,,,,
B,lift,,,,,,,,,,,,,SMALL_MV 市值最小档(零锚点),全部,≥200%,135.0,0.06500321804025315,0.06338477082454556,1.0255336919997327,1.013205653662776,1.0380489865053597,0.0,,,,,
B,lift,,,,,,,,,,,,,SMALL_MV 市值最小档(零锚点),全部,≥500%,135.0,0.005650068636852638,0.006184096351153889,0.9136449880504195,0.8813852752065248,0.9477471265192321,1.0,,,,,
B,lift,,,,,,,,,,,,,SMALL_MV 市值最小档(零锚点),站上,≥100%,62.0,0.23290272777831117,0.22755790509793528,1.0234877477803974,1.0160327085619305,1.0318063906231025,0.0,,,,,
B,lift,,,,,,,,,,,,,SMALL_MV 市值最小档(零锚点),站上,≥200%,62.0,0.081533797520484,0.08170646574169788,0.9978867251245483,0.9836367779242648,1.0134810349318606,0.595,,,,,
B,lift,,,,,,,,,,,,,SMALL_MV 市值最小档(零锚点),站上,≥500%,62.0,0.0069847461196523115,0.008111146490246914,0.8611293271612072,0.8198355818703655,0.9007501025267717,1.0,,,,,
B,lift,,,,,,,,,,,,,SMALL_MV 市值最小档(零锚点),站下,≥100%,73.0,0.19411503039284708,0.18041504542121906,1.075935933944103,1.065662247988789,1.0868854131063048,0.0,,,,,
B,lift,,,,,,,,,,,,,SMALL_MV 市值最小档(零锚点),站下,≥200%,73.0,0.05096354779676942,0.047823879251073745,1.065650645553292,1.0437684682189388,1.0874419151635704,0.0,,,,,
B,lift,,,,,,,,,,,,,SMALL_MV 市值最小档(零锚点),站下,≥500%,73.0,0.004516506939132368,0.004547423630280361,0.9932012731468155,0.9388492922980002,1.0615831800411561,0.585,,,,,
C,案例,20日线,,,,,,,,,,,,宁德时代,,,,,,,,,,2019-12-31,0.10696101950543047,94.6282160022618,0.7760814249363868,True
C,案例,60日线,,,,,,,,,,,,宁德时代,,,,,,,,,,2019-12-31,0.2986169934847489,98.2199253517083,0.7286821705426356,True
C,案例,20周线(MA100),,,,,,,,,,,,宁德时代,,,,,,,,,,2019-12-31,0.3535457551933776,98.121387283237,0.6184971098265896,True
C,案例,60周线(MA300),,,,,,,,,,,,宁德时代,,,,,,,,,,2019-12-31,0.3681241420033463,92.4827792752321,0.5456723569931117,True
C,案例,20日线,,,,,,,,,,,,生益电子,,,,,,,,,,2024-05-31,0.12329935268808878,98.5661614092585,0.24928308070462926,False
C,案例,60日线,,,,,,,,,,,,生益电子,,,,,,,,,,2024-05-31,0.38704530950861527,99.71264367816092,0.40476190476190477,False
C,案例,20周线(MA100),,,,,,,,,,,,生益电子,,,,,,,,,,2024-05-31,0.4951863049602214,99.73223480947478,0.4012358393408857,False
C,案例,60周线(MA300),,,,,,,,,,,,生益电子,,,,,,,,,,2024-05-31,0.34901965652289957,97.56884681583476,0.2319277108433735,False
C,案例,20日线,,,,,,,,,,,,宇通客车,,,,,,,,,,2024-01-31,-0.004488936559011614,92.89662231320368,0.06489252814738997,False
C,案例,60日线,,,,,,,,,,,,宇通客车,,,,,,,,,,2024-01-31,0.09740610448567288,98.62224964013984,0.06456919596956612,False
C,案例,20周线(MA100),,,,,,,,,,,,宇通客车,,,,,,,,,,2024-01-31,0.11052025170610658,98.3054350072329,0.0657160570365778,False
C,案例,60周线(MA300),,,,,,,,,,,,宇通客车,,,,,,,,,,2024-01-31,0.3008000664415036,99.13194444444444,0.09136284722222222,False
