买点,仓位,权重,小市值年化,小市值回撤,随机中位,随机min,随机max,随机回撤中位,首版单种子,单种子分位
60日新高,10,等额,0.06343974931554697,-0.6232887202110118,0.047265012134867224,0.0073793021875196985,0.10687445179097188,-0.5888166705651181,0.03656712186608613,0.35
60日新高,10,inv_vol,0.07333437491370165,-0.6187755988067188,0.048343617712157005,0.013634613580058241,0.12457352277235922,-0.5750880872340816,0.039406495295146726,0.35
60日新高,20,等额,0.039459631857415856,-0.6847480415424771,0.05818722353055217,0.019740370945357855,0.10666219178513403,-0.5661652879437111,0.10666219178513403,1.0
60日新高,20,inv_vol,0.048947613605847984,-0.6358141264410397,0.06094728368806612,0.019149593051403846,0.12272784292519612,-0.5107037150258423,0.12272784292519612,1.0
60日新高,30,等额,0.04378793647401524,-0.669299599302069,0.061038737823118416,0.029555171111985912,0.08423664717510793,-0.5873316962770679,0.0357620098675373,0.15
60日新高,30,inv_vol,0.057463645329520974,-0.5996149402948828,0.06931080373505394,0.04116799625291834,0.10220792438370307,-0.5244757565465173,0.051982154867688646,0.2
60日新高,50,等额,0.026130231916280833,-0.7218530617775962,0.06194754974131822,0.039240675294458294,0.08671210280064989,-0.5347902336048862,0.0625382700245416,0.55
60日新高,50,inv_vol,0.040661908762826604,-0.6641693311864948,0.07185177509340468,0.04260011679495013,0.09633584248867955,-0.4884226738100176,0.07469572864471741,0.65
口袋支点,10,等额,0.10014302923286511,-0.6329034489350815,0.041673651105680665,0.01692891790503226,0.1344248880811667,-0.6295703951810131,0.06178519539059213,0.75
口袋支点,10,inv_vol,0.11577198500364005,-0.6259619674710403,0.049193135879411765,0.02516383679238343,0.12174245232103553,-0.6250247305612784,0.052176835403402455,0.55
口袋支点,20,等额,0.06383943108745349,-0.663099317884016,0.06466089552142129,0.023684192831682216,0.10507085732255006,-0.5820991949190102,0.10507085732255006,1.0
口袋支点,20,inv_vol,0.07550257936054039,-0.6171897619529461,0.06496752832428832,0.025322561567086677,0.10454710922544663,-0.5688907239106673,0.10454710922544663,1.0
口袋支点,30,等额,0.08766673492310795,-0.606361592201266,0.07636816767458421,0.03994748608738963,0.10962637166111877,-0.562676453190249,0.06565163191433365,0.35
口袋支点,30,inv_vol,0.09997798679397096,-0.5642939503199957,0.08505315675584557,0.04596547910630511,0.11620863799796832,-0.5273749147541353,0.06762885092904725,0.35
口袋支点,50,等额,0.07760902762397226,-0.6064084304527622,0.07447743649342664,0.06250034238119606,0.08661755870886423,-0.5322137018052835,0.073284773520506,0.45
口袋支点,50,inv_vol,0.08785492615427426,-0.5860934186220021,0.08120269603500962,0.07008405930028139,0.09797366321192436,-0.5021611933653111,0.08311053925000755,0.7
