年,n,占比
2013,2291,0.9978175469227412
2014,2381,0.7929441411171777
2015,2481,0.282950423216445
2016,2668,0.6570464767616192
2017,2937,0.7728975144705482
2018,3325,0.9446616541353383
2019,3431,0.7790731565141358
2020,3629,0.5191512813447231
2021,4036,0.5953914767096135
2022,4371,0.6485929993136582
2023,4371,0.6209105467856326
2024,4371,0.7430793868679936
2025,4371,0.34477236330359184
2026,4371,0.515442690459849
