因子,命中中位,等额,inv_vol,前段,后段,p_全期,p_后段,随机中位
【池基线】不筛,340.0,0.04773110242313283,0.16702781757562235,2.562430067548632,-0.0786873445964753,,,
1 双增长(净利+收入 TTM同比>0),184.0,-0.07389143189938796,-0.07260135041195148,0.8313947250738789,-0.14328362880913148,0.87,0.44666666666666666,-0.029724302987379714
2 盈利加速 且 当季>25%,87.0,-0.043452985006070866,-0.04090395989808249,2.5414598872778975,-0.14577982242228404,0.22,0.29,-0.07528179962815756
3 高估值 BP最低30%,231.0,-0.10171202585772954,-0.057411218659173535,1.4261847570273072,-0.198375059493606,1.0,0.9833333333333333,0.004622174896382281
4 破净 BP最高30%,23.0,-0.115110736269875,-0.08285203012044562,1.0648572806037628,-0.17272334344522522,0.6433333333333333,0.5,-0.09704247060346244
5 小市值 最小50%,79.0,0.04922925876174711,0.1709237289472627,2.562430067548632,-0.07726489466858866,0.0033333333333333335,0.02,-0.0806068096474038
6 抗跌 rmdd20最浅50%,171.0,-0.11123092279114921,-0.01632666091022028,1.1631309215164878,-0.19467307408398038,0.96,0.8466666666666667,-0.043740618715287116
7 换手不冷 分位>30%,293.0,0.024368361507234093,0.14038985781892088,2.3629860973989425,-0.09309101518524387,0.6366666666666667,0.43,0.03160362410950168
8 现金流不差 OCF/NI≥0,208.5,0.041197044077347034,0.12892238038953274,2.0751910391428807,-0.07493476960692302,0.06,0.02666666666666667,-0.007118772363355175
