变体,事件数,年化,随机中位,随机2.5%,随机97.5%,p,p标准误
口袋支点 ∩ 60日新高,24094,0.08402327788150821,0.035522827968071935,-0.015649804357178485,0.09853090477454123,0.08333333333333333,0.015957118462605634
口袋支点 ∩ 距60日高点5%内,45987,0.10521326774671769,0.03951222743882543,-0.013945441060312026,0.08372693838827439,0.0033333333333333335,0.003327773140415986
