配置,事件,选中率,胜率,净期望,年化,回撤,随机中位,p,过年化,过p,算发现
N1 启动前创过新高,6358,0.6753053637812002,0.15413652091852784,0.010046083433553656,0.020377283077890995,-0.5877796486216289,0.08893412679866475,0.9366666666666666,False,False,False
N2 买点前创过新高,4795,0.5092936802973977,0.13931178310740355,0.01270244927618901,0.03516552062902889,-0.612524397569439,0.07581588788780724,0.78,False,False,False
L1 群内龙头度 高50%,4838,0.5138608603292618,0.15440264572137247,0.015477567020729721,0.03777759128584601,-0.5372541338961075,0.08368190884496962,0.7966666666666666,False,False,False
**N1∩N2∩L1 三条全中**,2164,0.229845990440786,0.1455637707948244,0.013720129770316176,-0.020199394571447926,-0.5728504026114271,0.066126963734639,0.9766666666666667,False,False,False
