规则,实收每笔,峰值每笔,兑现率,组合,对照,超额,p
A1 个股破20周线,0.025754081150668635,0.19208116313737153,0.13407916075690346,0.04265929191116109,0.04669518581181063,-0.00403589390064954,0.725
A2 个股破10月线,0.053565895368859626,0.3195158548830107,0.16764706524022896,0.06793363887957668,0.07096783077614827,-0.0030341918965715864,0.635
A3 个股月线MACD,0.17564768274657805,0.7155070210638067,0.24548701490787234,0.14352146975069988,0.1370472299269399,0.00647423982375997,0.25
B1 指数破20周线,0.006563415070029971,0.19022152713188517,0.0345040604446383,0.055405539199379995,0.0599414438113105,-0.004535904611930507,0.795
B2 指数破10月线,0.03487223993110982,0.3545422671679327,0.09835848405231813,0.07785342240609348,0.059438300092174774,0.01841512231391871,0.005
B3 指数月线MACD,0.3662726562133521,1.1262707138960295,0.3252083639343961,0.30070819861634723,0.26762935929251586,0.03307883932383138,0.0
B3′ §70原口径(含前视),0.35305274591331987,1.0873175523892316,0.3247006774953046,0.2654897424963633,0.215351623088956,0.05013811940740731,0.0
C  基地计数(第3基),0.25286450093220025,0.8203090188425478,0.3082551759445372,0.22731997045301655,0.19703410364901425,0.030285866804002304,0.01
