池,配置,事件数,选中率,胜率,净期望,年化,回撤,p
60日新高突破,【基线】不筛,42609,1.0,0.16090981719065744,0.016407037479703845,-0.04098253709941335,-0.5615160149243243,
60日新高突破,深度 最浅40%,17046,0.40005632612828274,0.18828918776061548,0.012420416951794144,0.0029031145458200402,-0.5647808225169404,0.19333333333333333
60日新高突破,缩量比 最缩40%,16750,0.3931094369734094,0.16501314845804446,0.024902140197979213,-0.059575031210174156,-0.513899334809368,0.7666666666666667
60日新高突破,收敛比 最收敛40%,16698,0.391889037527283,0.17049337569690068,0.028853202046468376,-0.08696929026388378,-0.6360862911929581,0.9033333333333333
60日新高突破,**三条全中**,2300,0.05397920627097562,0.2267188859878155,0.02291411025907735,0.06425550096864208,-0.3756527710675964,0.18
口袋支点,【基线】不筛,38858,1.0,0.1787397316715165,0.019269446029398025,0.11445844342583866,-0.4008423854391897,
口袋支点,深度 最浅40%,15546,0.4000720572340316,0.1953135058581177,0.011094263931667177,0.06040560308738385,-0.32752450543171696,0.6133333333333333
口袋支点,缩量比 最缩40%,15295,0.39361264089762726,0.18784747203872065,0.026699997481467085,0.08851882593421267,-0.38311031088404424,0.31666666666666665
口袋支点,收敛比 最收敛40%,15248,0.39240310875495393,0.20106271319863553,0.036514723209726326,0.0923936594167063,-0.3763869156719132,0.3233333333333333
口袋支点,**三条全中**,2049,0.052730454475268924,0.25537109375,0.029589247156103875,0.06129782022765551,-0.2575754829273671,0.32
