日期,成败,收盘,PB,ROE,ROE同比,净利同比,营收同比,换手率,距250高,过去3年,说明
2014-03-20,成,5.12,0.8355106419338663,11.92,,,,0.016488313280646483,-0.24035608308605338,0.15056179775280887,第三段起涨 → +125.0%
2014-12-04,成,6.9,0.948837825378109,13.98,5.620000000000001,1.1814302106036654,0.562908011507518,0.031832343075311326,0.0,0.550561797752809,三段信号 → 6月 +90.9%
2022-10-10,成,5.33,0.8662918863737475,-0.44,-1.39,-1.450261356835973,-0.15775936451294015,0.003664550912561343,-0.3736780258519389,-0.431163287086446,底部起涨 → +133.0%
2024-01-10,成,12.78,2.125652189162615,7.5,6.61,7.030917140936721,0.4451091805154668,0.020968718344984125,0.0,0.04241435562805873,三段信号 → 6月 +91.0%
2017-07-21,败,13.93,2.2187056022877574,2.3,-0.6000000000000001,-0.16463093797835537,-0.24544213504279466,0.014870116945539821,0.0,1.6482889733840307,三段信号 → 6月 +15.9%/12月 −25.6%
2018-03-09,败,14.59,2.433671836495697,13.79,-5.080000000000002,-0.16430011898776686,-0.12300535047951355,0.004503163364390153,-0.09603469640644369,0.6015367727771681,顶部 → 156 日 −54.9%
2018-07-02,败,10.71,1.602690181618842,1.88,-0.41999999999999993,-0.06805471448655886,0.20439454040753535,0.01081751962799929,-0.3364312267657992,-0.1404494382022472,20 月线止损点
2021-03-08,败,11.74,1.7477286361908981,0.95,-7.01,-0.8820839832310431,-0.34770306750993407,0.01304289101526072,-0.09553158705701081,-0.11662904439428134,顶部 → 99 日 −30.3%
2021-07-01,败,9.05,1.3324833307044137,-0.73,0.08999999999999997,-1.7748552175459698,0.28974748187230226,0.0035451939775313335,-0.30277349768875195,-0.3180105501130368,跌势中
2025-09-01,?,26.23,4.408675397467744,13.79,9.169999999999998,1.9457477669363517,1.4379479043566468,0.01028130346286385,0.0,3.3571428571428577,三段信号 → 6月 +23.9%
