theta,事件,年化,对照年化,超额,p,回撤,对照回撤,平均持仓,对照持仓
0.08,11390,0.17192233384108468,0.12599081569043769,0.045931518150647,0.0,0.5879529279483825,0.5898953127389572,1430.9038519866544,1430.903851986655
0.1,10236,0.1648708452538854,0.12644515962518976,0.03842568562869564,0.0,0.5787689853107332,0.5911362028786997,1280.0627843494085,1280.0627843494085
0.12,8675,0.16522576948692413,0.12086921706063902,0.04435655242628511,0.0,0.5898071888289274,0.5901633240289323,1077.9284197755535,1077.9284197755533
0.15,6264,0.20273583241640591,0.12395694812664337,0.07877888428976254,0.0,0.5872722599562731,0.5887239142213855,771.8434940855323,771.8434940855325
