长度,多头占比
500,0.5588822355289421
500,0.6427145708582834
245,1.0
500,0.27345309381237526
500,0.42115768463073855
496,0.27565392354124746
388,0.42930591259640105
500,0.530938123752495
500,0.25748502994011974
497,0.3192771084337349
391,0.4923469387755102
426,0.44028103044496486
500,0.6926147704590818
486,0.3141683778234086
352,0.43342776203966005
500,0.0658682634730539
500,0.720558882235529
497,0.3534136546184739
345,0.28034682080924855
500,0.5069860279441117
196,0.3401015228426396
498,0.2785571142284569
500,0.35129740518962077
297,0.6442953020134228
500,0.5968063872255489
66,1.0
500,0.5109780439121756
493,0.4433198380566802
149,1.0
494,0.46464646464646464
500,0.5029940119760479
492,0.48073022312373226
500,0.5688622754491018
33,0.0
500,0.4590818363273453
477,0.5460251046025104
500,0.4491017964071856
500,0.4411177644710579
500,0.4630738522954092
484,0.43711340206185567
478,0.4154488517745303
347,0.5718390804597702
500,0.25948103792415167
500,0.3193612774451098
500,0.5489021956087824
231,0.14655172413793102
132,0.21052631578947367
451,0.5907079646017699
315,0.8449367088607594
500,0.7984031936127745
439,0.4909090909090909
500,0.2874251497005988
500,0.6287425149700598
493,0.43724696356275305
500,0.4231536926147705
490,0.5295315682281059
500,0.45109780439121755
362,0.5041322314049587
500,0.2954091816367265
306,0.3583061889250814
484,0.5154639175257731
248,0.9156626506024096
500,0.16367265469061876
119,0.03333333333333333
500,0.32934131736526945
416,0.9640287769784173
398,0.05012531328320802
474,0.391578947368421
500,0.6127744510978044
204,0.28292682926829266
500,0.38323353293413176
449,0.3977777777777778
479,0.35833333333333334
349,0.49142857142857144
500,0.3013972055888224
500,0.5888223552894212
464,0.4645161290322581
500,0.08383233532934131
476,0.32075471698113206
377,0.5555555555555556
407,0.4583333333333333
442,0.43792325056433407
492,0.7221095334685599
250,1.0
500,0.4231536926147705
489,0.48775510204081635
181,0.0
446,0.5503355704697986
102,0.0
351,0.38920454545454547
500,0.2215568862275449
130,0.061068702290076333
495,0.3911290322580645
468,0.2579957356076759
500,0.3333333333333333
500,0.24750499001996007
500,0.6307385229540918
500,0.5329341317365269
500,0.3592814371257485
494,0.5131313131313131
463,0.6099137931034483
499,0.502
74,0.0
498,0.3366733466933868
324,0.36
26,1.0
275,0.6159420289855072
500,0.47704590818363274
500,0.3313373253493014
304,0.15081967213114755
354,0.6845070422535211
500,0.7644710578842315
461,0.461038961038961
337,0.11538461538461539
500,0.5528942115768463
477,0.6317991631799164
293,0.05782312925170068
500,0.43912175648702595
498,0.20240480961923848
500,0.6666666666666666
492,0.7322515212981744
468,0.7825159914712153
500,0.936127744510978
500,0.5429141716566867
425,0.2746478873239437
313,0.37261146496815284
381,0.39528795811518325
484,0.5051546391752577
485,0.49382716049382713
500,0.13572854291417166
500,0.18962075848303392
477,0.5355648535564853
471,0.4427966101694915
500,0.5728542914171657
500,0.5608782435129741
154,0.18064516129032257
499,0.574
500,0.5449101796407185
500,0.2654690618762475
495,0.36693548387096775
498,0.3847695390781563
500,0.5089820359281437
498,0.30060120240480964
500,0.5249500998003992
500,0.36726546906187624
279,0.7142857142857143
500,0.7664670658682635
500,0.1317365269461078
250,0.1394422310756972
123,0.28225806451612906
500,0.5349301397205589
484,0.23917525773195877
500,0.7225548902195609
499,0.186
182,0.4371584699453552
226,0.01762114537444934
122,0.032520325203252036
500,0.5109780439121756
500,0.45708582834331335
500,0.5588822355289421
497,0.2991967871485944
79,1.0
476,0.46540880503144655
496,0.3561368209255533
467,0.2329059829059829
212,0.539906103286385
500,0.3592814371257485
116,1.0
455,0.543859649122807
500,0.3712574850299401
500,0.42115768463073855
440,0.4943310657596372
475,0.5756302521008403
499,0.502
494,0.5292929292929293
500,0.249500998003992
242,0.02880658436213992
499,0.492
500,0.001996007984031936
178,0.0
500,0.43912175648702595
500,0.7944111776447106
495,0.40524193548387094
267,0.458955223880597
487,0.47540983606557374
403,0.297029702970297
500,0.42714570858283435
500,0.37325349301397204
118,1.0
500,0.3473053892215569
347,0.4166666666666667
500,0.5748502994011976
478,0.5532359081419624
489,0.4897959183673469
439,0.33181818181818185
500,0.4590818363273453
350,0.6894586894586895
500,0.5069860279441117
98,1.0
500,0.5349301397205589
500,0.3992015968063872
500,0.48502994011976047
350,0.017094017094017096
500,0.30538922155688625
189,0.3894736842105263
483,0.3347107438016529
357,0.45251396648044695
242,0.6008230452674898
500,0.17964071856287425
484,0.29690721649484536
500,0.12375249500998003
500,0.6467065868263473
499,0.332
