snap,days,n_user,n_mine,n_mine_dual,overlap,ret_user_dual,ret_mine,ret_mine_dual,mv_q1,mv_q2,mv_q3,pe_q1,pe_q2,pe_q3,rps_q1,rps_q2,rps_q3
2025-01-04,7,51,482,230,0.9607843137254902,0.0689008831503704,0.04114521689333189,0.038049338051360855,0.10125598183572353,0.043369961739610406,0.062076705875777294,0.060010285388638784,0.06060546615145479,0.09542991659091751,0.05848481645672755,0.04212414721018075,0.10609368578420293
2025-01-14,3,57,481,219,1.0,0.025616197810183358,0.010033932825703114,0.019855663801863467,0.031602097148988845,0.03755878017197858,0.007687716109582656,0.026354732552089703,0.0277115219688882,0.03548436080086376,0.03780828246913889,0.012612183409505064,0.026428127551906114
2025-01-18,5,70,483,218,0.9714285714285714,0.03827143435948389,0.0112180869416125,0.026323068356071,0.03772963511495477,0.04310150001566263,0.03420271638675148,,,,0.03934298399797431,0.025857292395188334,0.04904974750509377
2025-01-24,3,86,483,221,0.9651162790697675,-0.0084757833770498,0.006647709929143257,0.004593205564963354,0.006520160641788291,0.00024537358456102525,-0.032192884357498716,-0.019419249720198012,-0.004841875980513596,-0.0077031355991549755,0.012345473585662091,-0.027216857798602882,-0.012077594048372647
2025-02-06,5,88,482,208,0.9431818181818182,-0.006754394290389542,0.02705883642201307,0.011755154204177963,0.009998221839291008,-0.005097437795991986,-0.025808298304070745,-0.013830045915684005,-0.012537328544765617,-0.001288976904499024,-0.012684866152832087,-0.014050662086885652,0.005931881087327179
2025-02-13,5,67,483,183,0.9552238805970149,0.04794966529204096,0.044614299544665434,0.05225308467781314,0.05194286247776702,0.06835262366246479,0.024627349650123913,0.06598921164187237,0.059959087781105556,0.023627872077665507,0.05397511754841924,0.05706927920564037,0.03328457880172641
2025-02-20,6,110,482,180,0.9090909090909091,-0.04374018556839787,-0.0303888454214462,-0.03338284016517048,-0.045626032347935226,-0.04675714174058524,-0.03874758038907613,-0.03879136768183349,-0.03273107789341419,-0.07160730725122993,-0.03806391314861784,-0.04100223419030565,-0.052424708052926317
2025-02-28,4,63,483,156,0.9523809523809523,,0.04390825591860529,0.05504901662412515,,,,,,,,,
2025-03-06,5,62,482,165,0.9516129032258065,-0.024654135821359904,-0.026399277630018772,-0.027210374697580843,-0.02974344904989259,-0.026978342366382455,-0.017240616047804653,,,,-0.0654533110549277,0.0320690895668941,-0.03455742666107909
2025-03-13,6,63,482,170,0.9047619047619048,,-0.015560125795025782,-0.005882547872729148,,,,,,,,,
2025-03-21,9,59,483,171,0.9830508474576272,-0.1616284201920267,-0.1457474551754035,-0.14799736317846932,-0.17496591137804768,-0.16947100089548944,-0.1396637899974828,,,,-0.1718624430782034,-0.15620966734591527,-0.15621114880571568
2025-04-03,5,50,482,184,0.92,0.06408872395529625,0.04346610406277386,0.03918696915114638,0.06862057596061513,0.03599838457395009,0.08577452203923377,,,,0.07385192318332791,0.054880148085739364,0.062920195538851
2025-04-11,4,37,484,182,0.918918918918919,-0.004442836258078883,-0.01283915683562121,-0.009012399285792328,0.020661440654603513,-0.058704306754545646,0.01978149637148123,-0.04231632458720166,-0.013206772773948204,0.031940597101954085,-0.038444791157991154,0.017938544635903407,0.009212408738213123
2025-04-17,5,45,484,177,0.9111111111111111,0.029816444341622943,0.02203503968221546,0.03359470023271118,0.035161310094575404,0.04940837215065486,0.0062790741945694195,0.06198505271117537,0.011498519236221166,0.014346114503187431,0.026195633274690093,0.030794811859141697,0.03252877128514553
2025-04-24,8,55,484,167,0.9454545454545454,0.031067539219834312,0.0430254287807945,0.04667343219069281,0.008423261855107634,0.05610321512076558,0.02867614068362972,0.06580018987429652,0.024702917165036985,0.03160135395662854,0.023717718255334738,0.014674319452557476,0.05481057995161072
2025-05-10,4,62,482,171,0.9354838709677419,-0.014589657781601042,-0.00926162227756201,-0.01501450257755082,0.010715316237635377,-0.032520626672651334,-0.02196366290978717,,,,0.009017075638774635,-0.023661987493905644,-0.02912406148967212
2025-05-15,5,55,479,164,0.9454545454545454,-0.012333794913466688,0.0035895527152396143,-0.010066029999546606,-0.008765380188539383,-0.0026016630866281774,-0.025093667474852588,0.0032091809256530194,-0.025714157446806052,-0.00990586506274453,-0.012180953094117283,-0.005602157637440136,-0.018844294160174507
2025-05-22,6,60,480,157,0.8833333333333333,-0.02630070392432292,-0.01679981682024546,-0.026159091298236323,-0.04030107510459763,-0.023866044197174568,-0.01473499247119656,,,,0.012739161725285102,-0.054108926398590954,-0.037532347099662904
2025-06-02,3,54,482,147,0.9444444444444444,0.039115247115186935,0.03331152895946066,0.046719922469853584,0.042937651533377155,0.0447835547273061,0.029385634808740665,0.01645347483415499,0.06929340050862454,0.03969719446195843,0.01950726567723038,0.03612417909154674,0.06293979541665598
2025-06-05,5,69,478,155,0.8115942028985508,0.013302314524975274,0.0059379298708311466,-0.00039076657895300356,0.020732682695865996,0.02394131531596949,-0.003906608295867526,0.027296365144994242,0.020545259566888078,-0.0008965207060509225,0.03155224313471102,-0.0015166651578304713,0.01003474411837527
2025-06-12,5,65,481,146,0.7846153846153846,-0.04806432921291487,-0.042529448648344195,-0.04409086271052635,-0.05434874479500645,-0.06765695791910693,-0.02218728492463122,,,,-0.0626248675340871,-0.062135804619747055,-0.019432315484910465
2025-06-19,5,65,480,133,0.7384615384615385,0.010183872323880367,0.04174174538341355,0.03449960430568782,0.007954498213595857,0.007075418973754925,0.015639035263778977,0.024112190812691742,-0.016409653877733313,0.027641103404327665,0.01626423651648575,0.00871855618542174,0.0052488051017017465
2025-06-26,5,57,481,129,0.7543859649122807,0.018150390441440636,0.012468348168434906,-0.00242818181230109,0.06700117881417704,-0.005308225943311921,-0.007241781546543209,0.038790652842499086,0.01942249920213468,-0.008423937272430055,0.06758358379511757,0.010252982470221347,-0.023385394941016997
2025-07-03,5,60,484,128,0.7,-0.002493907502295849,-0.005172391153214026,-0.017764111552589154,-0.00947685315393512,-0.03133792196198696,0.03163634587611153,0.036338415841717805,-0.028215037024909597,-0.02030512700978814,0.013189247547521168,-0.0098202835184656,-0.01137298522554607
2025-07-10,5,54,484,127,0.8333333333333334,0.07088970262466507,0.033473196470890636,0.05925723058929178,0.0562303159858466,0.08122094120416541,0.058907907717774585,0.05030711908555462,0.08695463633221356,0.07508178024180259,0.07107713662724,0.02766634788897167,0.11391312775761192
2025-07-17,5,74,483,134,0.8513513513513513,-5.1778370340769334e-05,0.008155827409813968,-0.0006221047954207704,0.012048301214650328,-0.008926319532959814,-0.003699913990932777,,,,0.020593600937387564,-0.004695099994536611,-0.016274946607406398
2025-07-24,6,81,482,117,0.8518518518518519,-0.003173600665273045,-0.004250609798370552,0.0022185655371020642,-0.0009378986901870905,0.007965713581262412,-0.016660401985648755,-0.009758647137766727,-0.0014153256831418498,-0.005031434787674168,0.004597680295384939,0.0011141268049646713,-0.015621173144201644
2025-08-01,4,89,484,125,0.6966292134831461,0.03957208482319458,0.04725874198749202,0.04678314438568064,0.01891484974242112,0.07649835368801815,0.023303051039144467,0.031951969615275695,0.03666043197829703,0.05132264986470188,0.003182647644689157,0.030078503937824113,0.08545510288707046
2025-08-07,5,88,484,121,0.75,0.04820648933862815,0.02124375457861164,0.02903481927492002,0.04628340229512796,0.059699263583397506,0.03911566773089106,0.06093437389965345,0.0616503721863475,0.03473007373135828,0.07416426006657882,0.0425096547838454,0.027708185059010983
2025-08-14,11,127,481,128,0.7637795275590551,0.1320546528681361,0.07973729649221759,0.11607542642576271,0.08416504904909548,0.10215964890786354,0.2116129496777842,0.11632759886587347,0.1731655199995757,0.116156043101915,0.07490616515325314,0.1519155186080907,0.17145888549917132
2025-08-29,4,139,484,175,0.8848920863309353,-0.08759056574584409,-0.08114396114362105,-0.08616009796200916,-0.06808055199053864,-0.08810323008728896,-0.10660041916803256,-0.05934566229977908,-0.12121031124162786,-0.07829025740047954,-0.07289407442164499,-0.09361092623183115,-0.09641353464468996
2025-09-04,6,117,485,166,0.8547008547008547,0.0933832947372318,0.07177450108138814,0.08217492768143199,0.088136294086285,0.07363040146394388,0.11838318866146648,0.08907982245487117,0.1128519193920222,0.08998905930722509,0.09265571370643962,0.11163699877437137,0.07585717173088435
2025-09-12,4,131,486,170,0.8702290076335878,0.040890715919208016,0.02002312984394296,0.02940798436803922,0.04467091684672807,0.040667310766230445,0.03723699191575479,0.046662062173679235,0.023420181872836742,0.052374233157999474,0.027257044376748564,0.06364282821488719,0.03212185648758983
2025-09-18,5,133,484,171,0.9172932330827067,-0.000862719414068415,-0.007014358177630422,0.0008511582438871623,0.015779419121648604,-0.012879290512669991,-0.005788701128648896,0.011015415398524032,-0.01480404065504534,-0.002123648530398373,0.014515585489850042,-0.011703267016753184,-0.005671490405369223
2025-09-25,5,131,485,181,0.8625954198473282,-0.09596459768142215,-0.07318004316486926,-0.07646360498104221,-0.10259326131386978,-0.09208428393792584,-0.09321624779247081,-0.08594992611167576,-0.09390693370350264,-0.10152028107982113,-0.06586144914255393,-0.10861485512539724,-0.11341748877631529
2025-10-10,10,128,485,188,0.796875,0.07099658336084891,0.05712110454489917,0.06748051205763902,0.03276163174172245,0.062385525143703276,0.117842593197121,0.06239810440436542,0.08655550902179877,0.07121113649043026,0.04134513613869126,0.09620062360379407,0.07544399034006137
2025-10-24,4,90,485,177,0.9333333333333333,-0.003092596557298101,-0.00536445445614284,-0.0021981528633858312,-0.02716818887406994,0.003145859968334842,0.01563622783816568,0.01608162959074663,0.0035835078072778926,-0.021644511107496538,0.013448293231426545,0.00033247092635425705,-0.023671179377405645
2025-10-30,5,119,483,168,0.8319327731092437,-0.016900672402229786,-0.0009760296497106173,-0.020115965109160135,-0.018032334572387756,-0.0020792793978277107,-0.030559817772415565,0.003522063267227377,-0.030122531209344692,-0.024412167671384526,-0.003300389216841504,-0.01734250446696532,-0.030426698744109238
2025-11-06,5,109,485,202,0.7981651376146789,-0.0180248840785897,-0.005934703946596894,-0.02571561026940203,0.01723025322940744,-0.03432533812627036,-0.03804790483308792,-0.03064633184856786,-0.03348762808374361,-0.018074997117716155,0.022184707094390632,-0.020608471120913283,-0.055802863917618434
2025-11-13,5,105,484,188,0.7619047619047619,-0.06764804768253098,-0.04978766230317268,-0.04376273281004404,-0.0748861809552716,-0.06498662923041626,-0.06307133286190511,-0.0663172357447952,-0.073678205405746,-0.04699577557626563,-0.09132838198926936,-0.06840890572021321,-0.04165454802678269
2025-11-20,5,81,482,191,0.8518518518518519,0.033810201158359685,0.013430375916073925,0.02514012479922276,0.024113615009365975,0.05622756008307147,0.02149345280551634,0.018781739204689955,0.040708470111701374,0.04489060278792124,0.02190182878667287,0.039408198227033855,0.04061675864352594
2025-11-27,5,77,484,200,0.922077922077922,-0.01035124756936333,-0.0066029461070920645,0.00017268029310478828,-0.01837165594062854,-0.014068233387235906,0.0012245385407365155,0.03027863124592328,-0.0144480792442258,-0.026001728182714443,-0.0003414747247866665,-0.019358467308748826,-0.011745418924093
2025-12-04,6,68,486,212,0.9264705882352942,0.059556009739439426,0.030097917082933533,0.041046112580866635,0.06916584263691201,0.06471598540236202,0.04478620117904425,0.028322089380298805,0.06739842395728528,0.08462320943967808,0.05994113917211032,0.049807469334271,0.06891942071193698
2025-12-12,4,94,485,212,0.9680851063829787,0.003045118421601094,-0.011549079169716878,-0.012731715359568406,-0.008919291450126357,-0.0056408019377459095,0.02369544865267555,-0.001266930049701481,0.0009719618723182779,0.01451435175862725,-0.0037562728003195417,0.00764558866142398,0.005246039403698844
2025-12-18,9,90,484,210,0.9444444444444444,0.07868076655765757,0.07365593399147162,0.06582420070003936,0.0919652394291167,0.08276550322648157,0.06131155701737443,0.06451807609946401,0.057224141686864884,0.08822897755830407,0.07927158680199142,0.10421591928310153,0.0543362117153012
2026-01-01,5,145,486,204,0.9103448275862069,0.06350796247115222,0.07591028851849449,0.06722559815991203,0.062279694301579466,0.07493131224033765,0.053282923111306064,0.0694522359317947,0.03945318291311441,0.0669206333118796,0.10086909533655894,0.05834533142617383,0.031183542820358574
2026-01-11,4,154,485,190,0.8701298701298701,0.009200985572033749,-0.003060234339519783,0.00434316194735263,-0.0011745402053071877,0.009735283725871992,0.019054638733997795,0.027340270042141273,0.007329358337474819,-0.004792173847747905,0.019972626534535274,-0.005145559201590552,0.012262954099227877
2026-01-15,6,169,485,189,0.8520710059171598,0.06104819436601969,0.04110414608662577,0.05097133614367535,0.0843439439133276,0.04840920282387054,0.03933675976935451,0.0710090824169408,0.06595477817686098,0.0427170326266217,0.031021409176336872,0.06367696991827432,0.09027273797927644
2026-01-24,5,172,486,188,0.8604651162790697,-0.024614681746898567,-0.042726429894466914,-0.036666005064154975,-0.00032418240293409674,-0.04947075752661306,-0.02504334834233712,-0.03658848949978994,-0.0043095220424471,-0.03738132208640598,-0.020295294214814068,-0.019477503469014584,-0.03476676000286684
2026-01-31,4,151,486,193,0.8410596026490066,-0.05115061392274799,-0.02684591823261468,-0.04008826385450337,-0.028911654808648622,-0.06347180120875504,-0.06845170173005465,-0.05791424800024303,-0.05264209340007321,-0.038136617096510166,-0.042719612861347206,-0.04799442778418654,-0.06320334038460239
2026-02-05,6,118,487,169,0.864406779661017,0.07360500574889513,0.04803589189451391,0.06091969344858671,0.06679299230308025,0.05321606323130851,0.10080596171229661,0.06669958230725107,0.11302119194808542,0.04283595705875539,0.0655757902836295,0.0921813443563239,0.06298158237409873
2026-02-18,8,136,488,191,0.7941176470588235,0.06708163370346251,0.00010969136810900717,0.010595271560970941,0.09362163388333909,0.06640555149086287,0.04211157646175806,0.08257558632030577,0.06317801050011344,0.05339829458426452,,,
2026-03-05,5,101,489,185,0.8613861386138614,0.00233626229792042,0.0038017216497103945,-0.0027325085584430633,-0.0038908722559439957,0.027282055910623285,-0.016174825609122548,0.010361861064913287,-0.0022335636255838174,-0.010465148155696642,0.03408403739981412,-0.0032558676533138114,-0.02487764202280217
2026-03-12,5,148,487,193,0.8581081081081081,-0.036361744501281844,-0.05053116002075106,-0.05338890993204011,-0.044537087131496914,-0.04092035550907751,-0.02338733960944126,-0.05019646126503252,-0.03668602184787636,-0.014553629512810858,-0.04733583523765674,-0.027834640015631282,-0.03359199087595824
2026-03-19,5,70,487,191,0.9428571428571428,-0.05248089886847164,-0.044842267687816205,-0.04214110412412113,-0.05114517623232957,-0.04304708461074428,-0.0632504357623411,-0.03903602215008634,-0.06055287751888003,-0.05176114240094933,-0.06060378021585247,-0.04742767875480798,-0.049411237634754496
2026-03-26,5,74,487,195,0.8918918918918919,0.01499672692194112,0.025669959646831667,0.02347698270870871,-0.01486601273264064,0.052655596547957956,0.00855799420753247,,,,-0.043155019302547934,0.023277599671355866,0.06751086158903764
2026-04-02,4,73,489,197,0.9452054794520548,0.08725229172158644,0.059011167993461025,0.07719031062029018,0.07000098415584223,0.09685235617269763,0.09532092894278947,,,,0.09003015255820371,0.08661185729818545,0.08508702033343964
