,事件数,胜率,净期望,年化,最大回撤,后段净期望,后段年化,p_全期,p_后段
P1 重新站上MA50,13934.0,0.16994967649173257,0.03423598292681918,0.03272974287304331,-0.7115151282210023,0.019125735022955673,-0.019129659158992895,0.7266666666666667,0.5933333333333334
P2 站上MA50+量能确认,19015.0,0.1560407108579866,0.025214661345709887,0.017695817700224437,-0.7320117115559404,0.0065364750077145225,-0.04885079613254206,0.77,0.8433333333333334
P3 突破整理期高点,14735.0,0.10592960718905303,-0.016112418540704825,-0.030689203567620282,-0.8313640053844454,-0.029757016849739085,-0.08455188959796556,1.0,0.9933333333333333
【对照】60日新高,70318.0,0.1864911880454001,0.0460745115094142,0.06343974931554697,-0.6232887202110121,0.010255506264654272,-0.011257751935304872,,
