子集,事件数,选中率,胜率,毛期望,净期望,年化,Sharpe,最大回撤,年均笔数,p_净期望,p_年化
【对照】dp≥NEED 全部,60650,1.0,0.15717141016534797,0.013245392784767291,0.010245392784767292,-0.011364102065476112,0.0648575546769241,-0.6232887202110118,22.931197591915716,,
仅次新,8271,0.13637262984336357,0.12637695194286405,0.015218234966076044,0.012218234966076044,-0.02794237127692356,-0.03149789305297539,-0.6422283246711789,19.47581165340787,,
仅平底,15801,0.26052761747732894,0.19072066932876972,0.03197142058660738,0.028971420586607382,0.02223402974921984,0.2171171938905083,-0.5406718318888029,14.920984734465707,,
**次新 × 平底**,1739,0.028672712283594394,0.1702127659574468,0.05637883330880838,0.053378833308808375,0.024844700927709074,0.23157139750829203,-0.45387781254217896,13.585949258224037,,
第一层 同日×全市场·随机中位,1739,,,,0.012562527176273118,0.02357163823944397,,,,0.0,0.4866666666666667
第二层 同日×同为次新·随机中位,1739,,,,0.04541305217777286,0.021271080002652654,,,,0.30333333333333334,0.4633333333333333
