子集,事件数,选中率,胜率,毛期望,净期望,年化,Sharpe,最大回撤,年均笔数,p_净期望,p_年化
【对照】dp≥575 全部,60650,1.0,0.15717141016534797,0.013245392784767291,0.010245392784767292,-0.011364102065476112,0.0648575546769241,-0.6232887202110118,22.931197591915716,,
杯柄,79,0.001302555647155812,0.24050632911392406,0.0315263998280378,0.028526399828037802,0.031355752608913656,0.3684673991052924,-0.19153087186802953,3.8480434315201033,,
平底,15801,0.26052761747732894,0.19072066932876972,0.03197142058660738,0.028971420586607382,0.02223402974921984,0.2171171938905083,-0.5406718318888029,14.920984734465707,,
双底,3126,0.05154163231657049,0.19692603266090297,0.03160812335019572,0.028608123350195722,0.07010751186180508,0.4483189298346182,-0.476309328497041,12.565039776392174,,
任一基底,17826,0.2939159109645507,0.19135906511601775,0.03272078287698574,0.02972078287698574,0.0055540867890693235,0.12304657226837043,-0.617172363871763,16.334551709309824,,
任一基底 且 站上pivot,8499,0.14013190436933223,0.16784619013918378,0.029047376827258397,0.026047376827258398,-0.008975472171578236,0.04838644699312203,-0.63996100964838,16.727209202322083,,
任一基底·随机对照中位,17826,,,,0.01042843468419323,-0.017618606034162765,,,,0.0,0.25
任一基底 且 站上pivot·随机对照中位,8499,,,,0.009625109897705571,-0.01109557261250771,,,,0.0,0.45
