部分,配置,事件数,胜率,净期望,年化,Sharpe,最大回撤,年均笔数
买点,60日新高,70318,0.1864911880454001,0.0460745115094142,0.06343974931554697,0.3774086919720859,-0.6232887202110121,25.13007955278435
买点,60日新高 + 量能≥1.5×,64315,0.1822973520880766,0.04329521241075599,0.03534623640503254,0.2701409632922458,-0.6883183706207922,25.915394538808858
买点,52周(250日)新高,20002,0.16871334770186958,0.036419294612441276,0.011457321280951893,0.1678728441143541,-0.6755423798894835,22.617071597505912
买点,52周(250日)新高 + 量能≥1.5×,17682,0.16683685046516905,0.03545109187935104,0.040593142086640555,0.29512364152290216,-0.5895588537176073,20.96791012685444
离场@60日新高,"A 基线 -10%止损,无止盈",70318,0.1864911880454001,0.0460745115094142,0.06343974931554697,0.3774086919720859,-0.6232887202110121,25.13007955278435
离场@60日新高,H1 MA20 全程接管,70318,0.33314321565048766,0.004706956980788475,-0.15854352957801543,-0.6244025820014488,-0.9649647005497629,104.91808213287464
离场@60日新高,H2 MA20 收盘转正后启用,70318,0.3498403011464096,0.005488900102863194,-0.12507151834218733,-0.46708546793273964,-0.9311205089213462,98.00731025585895
离场@60日新高,H3 MA20 涨25%后启用,70318,0.3364940398106428,0.019514363591346413,-0.005011408436825904,0.09045256274074358,-0.7038863282361232,49.317781122339284
离场@60日新高,H4 MA20 涨100%后启用,70318,0.2023755204471568,0.05523592580984523,0.02447689324714908,0.22487015686001877,-0.7616336910146098,28.27133949688239
