段,规则,k,在场占比,年化,基准年化,超额pp,最大回撤,基准回撤,p
训练段13-21,R1 广度≥0.3991,1,0.5512452107279694,0.078713066801396,0.15219583930827474,-7.3482772506878735,-0.606713659942598,-0.6460030716758307,0.4870259481037924
训练段13-21,R2 广度≥0.5729,2,0.3381226053639847,0.0752665868947493,0.15219583930827474,-7.692925241352544,-0.45056907264598867,-0.6460030716758307,0.3473053892215569
训练段13-21,R3 广度≥0.7390,3,0.18199233716475097,0.07160677596459997,0.15219583930827474,-8.058906334367478,-0.4216248467017347,-0.6460030716758307,0.1277445109780439
训练段13-21,R4 广度≥0.9548,4,0.06896551724137931,0.08008258454268624,0.15219583930827474,-7.21132547655885,-0.18728529042047626,-0.6460030716758307,0.007984031936127744
留出段22-26,R1 广度≥0.3991,1,0.5576241134751773,0.009182364887847516,0.0830225914577587,-7.384022656991118,-0.2815390286494345,-0.32826730967015105,0.7245508982035929
留出段22-26,R2 广度≥0.5729,2,0.2845744680851064,0.03689475349584037,0.0830225914577587,-4.612783796191833,-0.15771866063378603,-0.32826730967015105,0.37524950099800397
留出段22-26,R3 广度≥0.7390,3,0.12411347517730496,0.03945505216983758,0.0830225914577587,-4.356753928792112,-0.12389166350793901,-0.32826730967015105,0.2714570858283433
留出段22-26,R4 广度≥0.9548,4,0.0274822695035461,-0.013745210478843695,0.0830225914577587,-9.676780193660239,-0.13162661337222448,-0.32826730967015105,0.8203592814371258
