日期,案例,案例峰值,案例排名,符合条件数,条件_中位,条件_均值,条件_≥50%,条件_≥100%,条件_≥200%,条件_≥500%,随机_中位,随机_均值,随机_≥50%,随机_≥100%,随机_≥200%,随机_≥500%
2019-12-31,宁德时代,2.8893562545720552,3,104,0.6753784504001219,0.8166317730406667,0.6442307692307693,0.25961538461538464,0.057692307692307696,0.009615384615384616,0.3565424908523219,0.6546447315882323,0.3557692307692308,0.15384615384615385,0.0673076923076923,0.009615384615384616
2024-05-31,生益电子,1.9972394755003449,4,87,0.2561224489795917,0.43684558398847434,0.27586206896551724,0.09195402298850575,0.034482758620689655,0.0,0.4177583697234353,0.6101504687140593,0.4367816091954023,0.1839080459770115,0.034482758620689655,0.0
2024-01-31,宇通客车,1.0662410215482843,3,105,0.3835978835978837,0.4073467130040839,0.23809523809523808,0.0380952380952381,0.0,0.0,0.38300349243306187,0.654440674624208,0.38095238095238093,0.18095238095238095,0.05714285714285714,0.0
