前瞻,档,同比中位,事件数,ge100,对照A,liftA,pA,对照B,liftB,pB,零校验
6个月,Q1,-1.6710457907767076,30120,0.07108233731739708,0.059428950863213814,1.1960893854748602,0.0,0.0842146217239062,0.844061706415274,1.0,8.309243658864707e-05
6个月,Q2,-0.355258400700632,30088,0.050717894177080565,0.05621842595054507,0.9021578480638487,1.0,0.07873573309920984,0.644153450799451,1.0,3.3308020637959346e-05
6个月,Q3,0.3167054325954708,30084,0.04690200771174046,0.054081904002127375,0.867240319606638,1.0,0.07437469518567547,0.6306178142263333,1.0,6.198836462453783e-06
6个月,Q4,0.7871888377754852,30088,0.04965434724807232,0.054008242488699815,0.9193846153846154,1.0,0.07511491851232763,0.6610450790800393,1.0,7.798312899020415e-05
6个月,Q5,2.4931953677341205,30144,0.05911624203821656,0.05423964968152866,1.089908256880734,0.0,0.07293982768204559,0.8104795955360922,1.0,8.896009454171377e-05
12个月,Q1,-1.5637301078872143,28185,0.18016675536632962,0.15430193365265213,1.1676247413198437,0.0,0.15487128863239427,1.163332189957928,0.0,6.71928712817349e-05
12个月,Q2,-0.354667006019045,28154,0.14122327200397813,0.14616040349506287,0.9662211421628191,1.0,0.1459628499302965,0.9675288751310233,1.0,0.00013582139139031724
12个月,Q3,0.299431098010273,28152,0.12958226768968456,0.14041631145211708,0.9228434100683025,1.0,0.13946365877343692,0.9291471974085738,1.0,7.81581079851712e-05
12个月,Q4,0.7602398634589853,28155,0.13422127508435447,0.13993961996093057,0.9591370558375634,1.0,0.141769032595303,0.9467601818762881,1.0,1.3470314789154614e-05
12个月,Q5,2.4475015925735897,28212,0.14419396001701404,0.14089749042960442,1.0233962264150944,0.045,0.14110680768657827,1.0218781246705888,0.035,1.852871885096863e-05
