信号,delta_0.25,delta_0.50,delta_0.75,delta_0.90,delta_0.95,delta_0.99,z_0.25,z_0.50,z_0.75,z_0.90,z_0.95,z_0.99,rho,CI下界,CI上界,反号信号数,信号总数
"AGE_YOUNG 上市[1,3)年",-0.012322170722176368,-0.015154090005043808,-0.013724642277290755,0.002586716993399074,0.0043191362346461926,0.12856149993522337,-12.543606564487957,-10.023588594338962,-4.380467069510006,0.3701145993680903,0.3332606255847311,3.020498364536048,,,,,
AGE_OLD 上市>10年,0.004523224538545895,0.0008817855069574998,-0.014122433319144423,-0.04531821868780028,-0.0812509156774901,-0.187752579751157,12.38751081065905,1.5475696876507612,-12.353193768889046,-14.38575964009263,-16.500258729606028,-10.777598863829098,,,,,
RPS250>=90,-0.002650165740561247,0.007721874796724593,0.043158020760752924,0.10212815029978883,0.11684074797261834,0.2128530776331865,-2.3863246117928414,4.316564077663929,11.102417423575691,11.286300483415838,7.457994345176954,4.15094225615606,,,,,
RPS50>=95,-0.006681670700977721,0.00794601125286759,0.052775493642199356,0.13243603785067815,0.20601658114656485,0.40143819436024897,-4.2231609730506445,2.9348397286710757,10.23797917939902,11.322725483183824,9.676297220123592,5.056923540156956,,,,,
RPS50<=30 弱势,0.0054678963603835284,0.006320358933472103,0.006755092214725256,-0.0012186749336120517,-0.028218831282379675,-0.010057105252123222,9.10515284974437,6.7114188832478625,3.2841604813827208,-0.2638211657442512,-3.8024100578717666,-0.3699513834972314,,,,,
MA_BULL 已多头排列,0.005565851651043424,0.010280462440710736,0.014844344913020446,0.016609616038173236,0.012574180590276374,0.003771561234823917,12.925430932872777,15.072649632828268,10.572473467312994,5.239120652225258,2.5914403803478865,0.23140437089554972,,,,,
MA_BEAR 空头排列,0.002874765730940032,0.003218633940620219,0.0008214767465462014,-0.0011476944616435336,-0.0039317379374339545,0.014181436829769023,8.503155168825735,6.057195624557466,0.8042000919264333,-0.5101075523191436,-1.044423108919464,1.1010036673826276,,,,,
NEAR_HIGH 距新高<=10%,0.009220771266570033,0.017336532919712433,0.021590504894138385,0.035606780329451304,0.04185792377905262,0.01438916612339991,9.785268975812059,10.457885475684659,6.4011117663518835,5.661345365405654,3.7050781318784436,0.3991394514896067,,,,,
FAR_HIGH 距新高>30%,0.010719774141248695,0.01047268222286657,0.013232803478774646,0.015341700166816574,0.014163254740947817,0.03582622422647441,20.976994394011626,14.649563590614557,11.351599533841767,6.116703223969922,2.772972112946239,1.7092439845624738,,,,,
TO_Q5 换手最高档,-0.006258478216850549,-0.002678687029056659,0.009869129899982454,0.014242320628341076,0.02431220120125599,0.09431920731134102,-6.761385395580233,-1.8413665112589008,3.381053060223964,2.042015964594384,1.9788693066709522,2.157453268600492,,,,,
TO_Q1 换手最低档,0.002993259359351977,-0.012251926145467773,-0.057547640086951124,-0.12078171626020628,-0.14131443277887712,-0.1421589181436067,4.4179725935411165,-11.176570125919993,-21.944416885504612,-21.434600157703635,-13.91526415506193,-4.953306649909803,,,,,
ABOVE_MA100 站上20周线,0.00439008224923354,0.009790221371248242,0.02015156915821459,0.028618354511289246,0.03549440322482145,0.03737341484337531,11.713372368840075,14.520583278639782,16.051003387470903,10.32319697124828,7.386918767885538,2.0592056558762297,,,,,
RANDOM_LABEL 随机贴标签(零锚点),0.0012384109164587098,0.0024697644478740566,0.006790598344225907,0.009150321282865637,0.018952239808714966,0.02108022924635833,1.2133077215115122,1.583798694788668,2.044926413364741,1.2235344532437424,1.391752932761203,0.42962684866379436,,,,,
判据,,,,,,,,,,,,,-0.08391608391608392,-0.23881118881118882,0.8391608391608393,0.0,12.0
