分段,信号,门槛,月数,信号命中,随机,lift,lift下界,lift上界,p
全样本,LHB_RECENT 近60日上榜,≥100%,135.0,0.1679042308577363,0.16112301348719227,1.0420872054449444,1.0317266290745466,1.0518758445494008,0.0
全样本,LHB_RECENT 近60日上榜,≥200%,135.0,0.048204148199873835,0.04536883955723905,1.0624946256131955,1.0416284964202676,1.0839613726257507,0.0
全样本,LHB_RECENT 近60日上榜,≥500%,135.0,0.004019116670437383,0.003186938323700355,1.2611215725602074,1.1550308291061882,1.36106490484719,0.0
全样本,MARGIN_HI 融资余额占比前20%,≥100%,135.0,0.15965952912507042,0.1529798662031703,1.0436636734472557,1.0267695407966564,1.0618063282764316,0.0
全样本,MARGIN_HI 融资余额占比前20%,≥200%,135.0,0.04113457031074452,0.0396795525537213,1.036669207775297,0.9969091749540794,1.082160260880141,0.085
全样本,MARGIN_HI 融资余额占比前20%,≥500%,135.0,0.0027616042587605217,0.00331824331629161,0.8322488725289817,0.7107600829001345,1.000077042340277,0.95
全样本,SMALL_MV 市值最小档(零锚点),≥100%,135.0,0.2119286395624676,0.20201130776172513,1.049092953808507,1.042835294428836,1.056017157938028,0.0
全样本,SMALL_MV 市值最小档(零锚点),≥200%,135.0,0.06500321804025315,0.0633618046056256,1.0259054085476886,1.0134351980254008,1.0384953473611398,0.0
全样本,SMALL_MV 市值最小档(零锚点),≥500%,135.0,0.005650068636852638,0.006203985253509454,0.9107160004380284,0.8766631724964675,0.946071942505588,1.0
2013-2018,LHB_RECENT 近60日上榜,≥100%,57.0,0.19071861838818552,0.18912505212984265,1.0084259924340897,0.9963555618748711,1.020926975440903,0.13
2013-2018,LHB_RECENT 近60日上榜,≥200%,57.0,0.06032952460055023,0.05959262597910425,1.012365600765846,0.9862538364019666,1.0349793101291016,0.225
2013-2018,LHB_RECENT 近60日上榜,≥500%,57.0,0.003957277433117022,0.0034942984519945298,1.1324955459537882,1.0038513608044197,1.2848612761499036,0.05
2013-2018,MARGIN_HI 融资余额占比前20%,≥100%,57.0,0.17708811682444833,0.1714538364671535,1.0328617922665977,1.0087655164578275,1.0610063300299888,0.015
2013-2018,MARGIN_HI 融资余额占比前20%,≥200%,57.0,0.04713928844535816,0.045919627667750505,1.0265607723658488,0.9674009252766773,1.103754708807672,0.25
2013-2018,MARGIN_HI 融资余额占比前20%,≥500%,57.0,0.001756086753583404,0.0026049725566735706,0.6741286963214098,0.5182383206546213,0.9531008314108163,0.96
2013-2018,SMALL_MV 市值最小档(零锚点),≥100%,57.0,0.23883135738574873,0.2395979028591016,0.9968007004059479,0.9873069219342935,1.0067372924940285,0.725
2013-2018,SMALL_MV 市值最小档(零锚点),≥200%,57.0,0.08618430061701676,0.0887359413048701,0.9712445639238033,0.9568878875049742,0.9870256313556135,1.0
2013-2018,SMALL_MV 市值最小档(零锚点),≥500%,57.0,0.00686719596666389,0.008680185557903489,0.7911346964709949,0.7522009932344408,0.8364096717702,1.0
2019-2026,LHB_RECENT 近60日上榜,≥100%,78.0,0.1512321784316388,0.14065998524833245,1.0751613414763364,1.058973388465147,1.091993264042018,0.0
2019-2026,LHB_RECENT 近60日上榜,≥200%,78.0,0.039343296214764165,0.03497453409510679,1.1249126609600382,1.0874787676934934,1.1630363487518678,0.0
2019-2026,LHB_RECENT 近60日上榜,≥500%,78.0,0.00406430688232534,0.002962328999177689,1.3719971291013078,1.2243117119485551,1.5227352685651991,0.0
2019-2026,MARGIN_HI 融资余额占比前20%,≥100%,78.0,0.14692325349860194,0.13947965716410568,1.0533668958315436,1.0282966471220134,1.0794306276960957,0.0
2019-2026,MARGIN_HI 融资余额占比前20%,≥200%,78.0,0.03674650705852686,0.03511949766269994,1.0463278094536912,0.9952546673294342,1.1053808189738288,0.075
2019-2026,MARGIN_HI 融资余额占比前20%,≥500%,78.0,0.0034964055125438,0.003839479640627871,0.9106456707169913,0.7579125298730347,1.1840750139592164,0.725
2019-2026,SMALL_MV 市值最小档(零锚点),≥100%,78.0,0.19226896115314676,0.17454418057518076,1.1015489632456206,1.0931145721424524,1.112244697176148,0.0
2019-2026,SMALL_MV 市值最小档(零锚点),≥200%,78.0,0.049524734618772034,0.044819166248485344,1.1049900916094286,1.085999112698239,1.1249399503561057,0.0
2019-2026,SMALL_MV 市值最小档(零锚点),≥500%,78.0,0.004760629434298262,0.004394454261836889,1.0833266546067797,1.031137209203424,1.1587027684976055,0.0
两融覆盖率,2013,,,,,0.2957809694793537,,,
两融覆盖率,2014,,,,,0.3669064748201439,,,
两融覆盖率,2015,,,,,0.3305578684429642,,,
两融覆盖率,2016,,,,,0.3222429906542056,,,
两融覆盖率,2017,,,,,0.2825314820794317,,,
两融覆盖率,2018,,,,,0.2693562741026402,,,
两融覆盖率,2019,,,,,0.4491001124859393,,,
两融覆盖率,2020,,,,,0.4601273885350318,,,
两融覆盖率,2021,,,,,0.49260186660596406,,,
两融覆盖率,2022,,,,,0.6397528760119301,,,
两融覆盖率,2023,,,,,0.6582719082719083,,,
两融覆盖率,2024,,,,,0.6731239804241436,,,
两融覆盖率,2025,,,,,0.6763275233076611,,,
