前瞻,档,n,sk,obs,ctlA,liftA,pA,ctlB,liftB,pB,gap0,rho,hits
6个月,0,73174,0.0,0.06052696312898024,0.05899636482903764,1.0259439425526986,0.055,0.08103816617587621,0.7468945311227707,1.0,0.00011891107328474565,,
6个月,1–2,29983,1.0,0.06306907247440216,0.0615515458759964,1.0246545651584935,0.115,0.08731816090326691,0.722290435597602,1.0,1.5146317130745879e-05,,
6个月,3–4,17051,3.0,0.05131663832033312,0.05454225558618263,0.9408602150537635,0.98,0.07649735579879474,0.6708289166923289,1.0,8.650832049082041e-05,,
6个月,5–7,12951,6.0,0.039379198517489,0.04192726430391475,0.9392265193370167,0.955,0.05908503071451665,0.6664835076037947,1.0,5.072868247951723e-05,,
6个月,8+,13313,11.0,0.030796965372192595,0.038871779463682116,0.7922705314009663,1.0,0.055158089083775674,0.5583399621661528,1.0,0.00019456782087854535,,
12个月,0,67686,0.0,0.16034335017581183,0.15450757911532664,1.0377701281315739,0.0,0.14995767228945883,1.0692573959557456,0.0,0.00012272229252527356,,
12个月,1–2,28212,1.0,0.1773713313483624,0.17439387494683115,1.017073170731707,0.085,0.18219922966543312,0.9735020925942659,0.995,0.00017452072039952915,,
12个月,3–4,16070,3.0,0.11443683883011824,0.11901057871810827,0.9615686274509805,0.96,0.12610431254499052,0.9074775994618768,1.0,0.00022484005765130433,,
12个月,5–7,12210,6.0,0.09721539721539721,0.10286650286650287,0.9450636942675158,0.985,0.10437623592124495,0.9313939744746993,1.0,6.12492915831736e-05,,
12个月,8+,12611,11.0,0.0890492427246055,0.10114186028070732,0.880439043512348,1.0,0.10644872733186957,0.8365458653815689,1.0,5.0795613783738425e-05,,
24个月,0,56608,0.0,0.08913934426229508,0.08343343697003958,1.0683887359728985,0.0,0.08873389157233173,1.0045693103590847,0.335,2.8965456077237328e-05,,
24个月,1–2,25045,1.0,0.09191455380315432,0.09011778798163306,1.0199379707576428,0.165,0.1026031746031746,0.8958256326730697,1.0,0.00020306063698671828,,
24个月,3–4,14364,3.0,0.059036480089111665,0.06370091896407686,0.926775956284153,0.99,0.0677308340045398,0.8716337390021599,1.0,5.793789554899009e-05,,
24个月,5–7,10931,6.0,0.04802854267679078,0.05813740737352484,0.8261211644374508,1.0,0.060867068619006606,0.7890727082229352,1.0,1.9644676831485908e-05,,
24个月,8+,11238,11.0,0.06104289019398469,0.06575903185620217,0.9282814614343707,0.97,0.0646983779843266,0.943499545054631,0.955,0.0002813622253122344,-0.6,"[0.08913934426229508, 0.09191455380315432, 0.059036480089111665, 0.04802854267679078, 0.06104289019398469]"
