期间,基线,择时,半仓择时,基准,基线超额,择时超额,期数,基线回撤,择时回撤
A 期 2023-10~2024-12,-0.10749039956249873,-0.040045558748085575,-0.07207439412340899,0.07480745061241856,-0.1822978501749173,-0.11485300936050413,54,-0.2461182045564585,-0.14214893657133565
B·2025 全年,0.31343426128936525,0.31343426128936525,0.31343426128936525,0.4955529892824708,-0.18211872799310558,-0.18211872799310558,45,-0.2238920877119024,-0.2238920877119024
B·2026 H1,2.3711935724750504,2.3711935724750504,2.3711935724750504,-0.04151814915056451,2.412711721625615,2.412711721625615,24,-0.0909512712663526,-0.0909512712663526
B 全期,0.822421911063975,0.822421911063975,0.822421911063975,0.28680025221481475,0.5356216588491602,0.5356216588491602,69,-0.2238920877119024,-0.2238920877119024
