指标,启动股中位,对照股中位,倍数
板块共振,0.011187477556646609,0.011187477556646609,1.0
启动速度,15.0,0.0,
距财报天数,34.0,35.0,0.9714285714285714
启动前250日涨幅,0.008872490145009682,-0.05182625863770984,-0.17119680984561514
启动前距250日高,-0.25842361751419474,-0.2733719221479643,0.9453188004228221
涨停次数,1.0,0.0,
换手分位,0.6266896043253871,0.4938335794887966,1.269029953317714
