买点,仓位,权重,排序,年化,Sharpe,最大回撤,年均笔数,笔均收益
60日新高,10,等额,小市值,0.06343974931554697,0.3774086919720867,-0.6232887202110118,25.13007955278435,0.046265822814184274
60日新高,10,等额,随机,0.03656712186608613,0.2784451966456934,-0.5626270245263411,22.145882605891206,0.043157126909259505
60日新高,10,inv_vol,小市值,0.07333437491370165,0.4176243063597029,-0.6187755988067188,25.13007955278435,0.046265822814184274
60日新高,10,inv_vol,随机,0.039406495295146726,0.29294638077995505,-0.5398144884835265,22.145882605891206,0.043157126909259505
60日新高,20,等额,小市值,0.039459631857415856,0.2913521736692922,-0.6847480415424771,49.317781122339284,0.034954894664771884
60日新高,20,等额,随机,0.10666219178513403,0.5991869633039738,-0.4553249331233369,41.85728875510643,0.08708580435463814
60日新高,20,inv_vol,小市值,0.048947613605847984,0.33634365854870824,-0.6358141264410397,49.317781122339284,0.034954894664771884
60日新高,20,inv_vol,随机,0.12272784292519612,0.6810904925647606,-0.43444404698867856,41.85728875510643,0.08708580435463814
60日新高,30,等额,小市值,0.04378793647401524,0.31603535592242893,-0.669299599302069,69.57890776177166,0.039577776624536674
60日新高,30,等额,随机,0.0357620098675373,0.28393667865400685,-0.6762232441373499,63.45345087078048,0.038669972241783784
60日新高,30,inv_vol,小市值,0.057463645329520974,0.3842587583019362,-0.5996149402948828,69.57890776177166,0.039577776624536674
60日新高,30,inv_vol,随机,0.051982154867688646,0.37153361193610923,-0.5978379101212243,63.45345087078048,0.038669972241783784
60日新高,50,等额,小市值,0.026130231916280833,0.23409715757913813,-0.7218530617775962,114.89158245538594,0.030275491859396198
60日新高,50,等额,随机,0.0625382700245416,0.423277779118838,-0.5362595702677682,101.14857019995699,0.05339513684478646
60日新高,50,inv_vol,小市值,0.040661908762826604,0.30982273015460826,-0.6641693311864948,114.89158245538594,0.030275491859396198
60日新高,50,inv_vol,随机,0.07469572864471741,0.49556451316932854,-0.47851465553020855,101.14857019995699,0.05339513684478646
口袋支点,10,等额,小市值,0.10014302923286511,0.5059226113651267,-0.6329034489350815,22.38147710169856,0.07786603348017694
口袋支点,10,等额,随机,0.06178519539059213,0.37814103337643584,-0.6838385971387739,21.596162115674048,0.056912535425294467
口袋支点,10,inv_vol,小市值,0.11577198500364005,0.5648848484994946,-0.6259619674710403,22.38147710169856,0.07786603348017694
口袋支点,10,inv_vol,随机,0.052176835403402455,0.3413053250565324,-0.7036294013488813,21.596162115674048,0.056912535425294467
口袋支点,20,等额,小市值,0.06383943108745349,0.39004908985606324,-0.663099317884016,41.85728875510643,0.060814970633337434
口袋支点,20,等额,随机,0.10507085732255006,0.5826964264524684,-0.5322384131407493,39.73693829284025,0.08442208678935688
口袋支点,20,inv_vol,小市值,0.07550257936054039,0.4431062757184526,-0.6171897619529461,41.85728875510643,0.060814970633337434
口袋支点,20,inv_vol,随机,0.10454710922544663,0.5834906638081173,-0.5362666297134233,39.73693829284025,0.08442208678935688
口袋支点,30,等额,小市值,0.08766673492310795,0.49699891277210706,-0.606361592201266,60.78337991829714,0.08007138423311713
口袋支点,30,等额,随机,0.06565163191433365,0.4184924420683036,-0.5867292958562655,58.89862395183832,0.06047868289209012
口袋支点,30,inv_vol,小市值,0.09997798679397096,0.5555287170296964,-0.5642939503199957,60.78337991829714,0.08007138423311713
口袋支点,30,inv_vol,随机,0.06762885092904725,0.4331677374353916,-0.570253495643625,58.89862395183832,0.06047868289209012
口袋支点,50,等额,小市值,0.07760902762397226,0.4723224504033311,-0.6064084304527622,101.38416469576435,0.06983687179907622
口袋支点,50,等额,随机,0.073284773520506,0.4772141650997435,-0.5235961930575272,96.04402279079768,0.06900771483751107
口袋支点,50,inv_vol,小市值,0.08785492615427426,0.5285187112558927,-0.5860934186220021,101.38416469576435,0.06983687179907622
口袋支点,50,inv_vol,随机,0.08311053925000755,0.5373461624126478,-0.48982473627855083,96.04402279079768,0.06900771483751107
