,事件数,胜率,毛期望,净期望,年化,Sharpe,最大回撤,年均笔数,p_净期望,p_年化
【锚点】60日新高突破,70318.0,0.1864911880454001,0.0490745115094142,0.0460745115094142,0.06343974931554697,0.3774086919720859,-0.6232887202110121,25.13007955278435,,
口袋支点(最小间隔60日),64641.0,0.2044873483428111,0.05423497288650189,0.05123497288650189,0.10014302923286511,0.505922611365129,-0.6329034489350815,22.38147710169856,0.0,0.0
口袋支点(最小间隔10日),114875.0,0.2083046310263945,0.056031009322250115,0.05303100932225011,0.07555698389827437,0.42213929634666136,-0.7089408576613154,21.910288110083854,0.0,0.0
口袋支点 ∩ 60日新高,24094.0,0.24185098952270082,0.07915202836823239,0.07615202836823239,0.08402327788150821,0.5057101141803908,-0.47445891963550324,17.512524188346593,0.0,0.15
