劈分,前瞻,半边,n,obs,ctlA,ctlB,liftA,liftB,pB,gap0,率差,p置换
ROE同比,6个月,改善,4804,0.10407993338884262,0.08232722731057451,0.1020066889632107,1.2642225031605563,1.0203245928938998,0.335,0.00029838947636710855,0.0024981241945766786,0.0975
ROE同比,6个月,恶化,4046,0.10158180919426595,0.09045971329708354,0.10921968190854871,1.1229508196721312,0.9300687148981255,0.96,0.0002893480730842418,0.0024981241945766786,0.0975
ROE同比,12个月,改善,4245,0.23133097762073027,0.2061248527679623,0.21905325443786983,1.1222857142857143,1.056049033438774,0.005,3.867299948409619e-05,-0.006244431744394707,0.6475
ROE同比,12个月,恶化,3481,0.23757540936512497,0.2186153404194197,0.22564324949407344,1.0867279894875164,1.052880641888491,0.045,0.0003068421364938734,-0.006244431744394707,0.6475
净利同比,6个月,改善,5078,0.09708546671918078,0.08202048050413549,0.1,1.183673469387755,0.9708546671918078,0.77,0.0002313402883320631,-0.014436732012320277,0.9495
净利同比,6个月,恶化,3784,0.11152219873150106,0.09223044397463002,0.11382978723404255,1.2091690544412608,0.9797277271739345,0.68,0.00017179040552794955,-0.014436732012320277,0.9495
净利同比,12个月,改善,4535,0.2269018743109151,0.20683572216097024,0.2186185521363737,1.0970149253731343,1.0378893835568643,0.04,0.00032699880035053086,-0.01880527523638431,0.996
净利同比,12个月,恶化,3203,0.2457071495472994,0.219013424914143,0.22821642025794275,1.1218816821097648,1.0766409764450238,0.005,0.0002703500399314773,-0.01880527523638431,0.996
