基地数,失败回撤,实收每笔,峰值每笔,兑现率,持有天,组合,对照,超额,p
2,0.1,0.20644149231822354,0.6341960428966028,0.32551684077896564,187.73492758504548,0.2000161492198247,0.18229064126442174,0.017725507955402953,0.02
2,0.15,0.2153302243316933,0.6840940472103212,0.3147669903133818,195.20994723251374,0.2067300663331234,0.1871073311766994,0.019622735156424015,0.02
2,0.2,0.23377956901470853,0.7555914416290301,0.3093994401401471,207.05838104861346,0.21716405589480214,0.19440573819825002,0.02275831769655212,0.0
3,0.1,0.24815914724030821,0.7893001600891493,0.31440402496849784,225.4847872459863,0.22115028298262832,0.19481040478361994,0.026339878199008376,0.005
3,0.15,0.25286450093220025,0.8203090188425478,0.3082551759445372,229.4486359043449,0.224488822888971,0.19465160859807262,0.02983721429089839,0.0
3,0.2,0.2626309893035858,0.863840300451268,0.3040272480531274,235.2656711949403,0.22985308460187515,0.19855934451140658,0.031293740090468564,0.0
4,0.1,0.26160923967529254,0.8827071416071465,0.2963715000639738,245.19778451405261,0.22727675993436935,0.1932711455395667,0.03400561439480265,0.0
4,0.15,0.2678328515061079,0.9037019978002014,0.29637297710757393,247.07282661577037,0.2350814409133669,0.1971961264870202,0.03788531442634671,0.0
4,0.2,0.27190851563522384,0.9267530747693766,0.2933990973840454,249.5567531155271,0.23502085207875606,0.19891895830077355,0.03610189377798251,0.005
