部分,格,n,obs,ctlA,ctlB,liftA,liftB,pB,gap0,率差,p置换,同比中位,pA
A,改善,4882,0.09401884473576404,0.08111429741909054,0.09930098684210527,1.1590909090909092,0.9468067511278597,0.915,0.0002479666661112101,-0.019997327770974502,0.99,,
A,恶化,3710,0.11401617250673854,0.09164420485175202,0.11310008136696502,1.2441176470588236,1.0080998274156954,0.435,0.0002334317203580294,-0.019997327770974502,0.99,,
B,Q1,30112,0.07143331562167907,0.05954436769394261,0.08358974358974358,1.199665365309537,0.8545703402593509,1.0,0.00015242196221949833,,,-1.7845475673675537,0.0
B,Q2,30087,0.052414664140658755,0.05646957157576362,0.08041331318314414,0.9281930547380812,0.6518157512212253,1.0,0.00012118316311038324,,,-0.42482510209083557,1.0
B,Q3,30077,0.04578249160488081,0.05436047478139442,0.07525942489780231,0.8422018348623853,0.6083290121742311,1.0,0.00013203803688609933,,,-0.006248784251511097,1.0
B,Q4,30087,0.04596669657991824,0.05292983680659421,0.07250052108663933,0.8684458398744114,0.6340188441540616,1.0,6.487627666470347e-05,,,0.24552801251411438,1.0
B,Q5,30132,0.059372096110447366,0.05343156776848533,0.07382211705755445,1.1111801242236026,0.8042589196427228,1.0,0.00010679464987711079,,,1.3852753639221191,0.0
